Time Step,True_pos_z,Predicted_pos_z,Absolute_Error
0,1.751044511795044,1.7534576654434204,0.002413153648376465
1,1.8106361627578735,1.78204345703125,0.028592705726623535
2,1.841897964477539,1.8440536260604858,0.0021556615829467773
3,1.8737938404083252,1.8771328926086426,0.003339052200317383
4,1.9068055152893066,1.9111524820327759,0.004346966743469238
5,1.9412782192230225,1.9465560913085938,0.005277872085571289
6,1.9763145446777344,1.9817900657653809,0.005475521087646484
7,2.0126562118530273,2.0179195404052734,0.005263328552246094
8,2.0499274730682373,2.0550687313079834,0.005141258239746094
9,2.0875892639160156,2.0929653644561768,0.005376100540161133
10,2.1260228157043457,2.130857229232788,0.004834413528442383
11,2.2047715187072754,2.169616222381592,0.035155296325683594
12,2.245309829711914,2.247905969619751,0.002596139907836914
13,2.2864272594451904,2.288543701171875,0.0021164417266845703
14,2.3338661193847656,2.3303394317626953,0.0035266876220703125
15,2.367964744567871,2.3767478466033936,0.008783102035522461
16,2.4508216381073,2.410710096359253,0.040111541748046875
17,2.492191791534424,2.4937291145324707,0.001537322998046875
18,2.532383680343628,2.5357627868652344,0.0033791065216064453
19,2.573662281036377,2.5749576091766357,0.001295328140258789
20,2.6139702796936035,2.616039991378784,0.002069711685180664
21,2.6743011474609375,2.6564667224884033,0.01783442497253418
22,2.6936190128326416,2.7163610458374023,0.022742033004760742
23,2.7325220108032227,2.735278844833374,0.002756834030151367
24,2.7710094451904297,2.773320198059082,0.0023107528686523438
25,2.8082218170166016,2.811260461807251,0.003038644790649414
26,2.8447580337524414,2.847651481628418,0.0028934478759765625
27,2.8808987140655518,2.8830177783966064,0.0021190643310546875
28,2.9209752082824707,2.918515920639038,0.002459287643432617
29,2.9486095905303955,2.9576187133789062,0.009009122848510742
30,2.9803719520568848,2.984694480895996,0.004322528839111328
31,3.0408124923706055,3.014418125152588,0.026394367218017578
32,3.0690603256225586,3.0733273029327393,0.004266977310180664
33,3.096079111099243,3.1000757217407227,0.003996610641479492
34,3.121805429458618,3.125303030014038,0.003497600555419922
35,3.3039968013763428,3.2988500595092773,0.00514674186706543
36,3.236652135848999,3.2662572860717773,0.02960515022277832
37,3.1287899017333984,3.1991569995880127,0.07036709785461426
38,3.0791923999786377,3.0917704105377197,0.012578010559082031
39,3.053203582763672,3.041508197784424,0.011695384979248047
40,3.0145792961120605,3.015474796295166,0.0008955001831054688
41,2.929276704788208,2.9775233268737793,0.04824662208557129
42,2.8959672451019287,2.892794132232666,0.0031731128692626953
43,2.855966567993164,2.8581206798553467,0.002154111862182617
44,2.814976453781128,2.817918300628662,0.0029418468475341797
45,2.774106979370117,2.7770960330963135,0.002989053726196289
46,2.6924350261688232,2.7357914447784424,0.04335641860961914
47,2.651467800140381,2.6540794372558594,0.0026116371154785156
48,2.610393762588501,2.613845109939575,0.0034513473510742188
49,2.5696418285369873,2.5732178688049316,0.003576040267944336
50,2.5300674438476562,2.5316734313964844,0.001605987548828125
51,2.4506518840789795,2.492488384246826,0.04183650016784668
52,2.4114553928375244,2.411275863647461,0.00017952919006347656
53,2.372819662094116,2.373699426651001,0.0008797645568847656
54,2.335392475128174,2.3336081504821777,0.0017843246459960938
55,2.2977383136749268,2.29738450050354,0.00035381317138671875
56,2.262098789215088,2.2598891258239746,0.0022096633911132812
57,2.227078676223755,2.2242660522460938,0.002812623977661133
58,2.1928021907806396,2.189749240875244,0.003052949905395508
59,2.159485340118408,2.1569738388061523,0.0025115013122558594
60,2.1278042793273926,2.124467611312866,0.003336668014526367
61,2.067800283432007,2.0970380306243896,0.029237747192382812
62,2.039625644683838,2.0379385948181152,0.0016870498657226562
63,2.012385606765747,2.0125508308410645,0.0001652240753173828
64,1.9865856170654297,1.9880657196044922,0.0014801025390625
65,1.9619204998016357,1.9627937078475952,0.0008732080459594727
66,1.9176084995269775,1.9391520023345947,0.021543502807617188
67,1.8970073461532593,1.895914077758789,0.0010932683944702148
68,1.8777756690979004,1.8755104541778564,0.0022652149200439453
69,1.8590664863586426,1.8564924001693726,0.0025740861892700195
70,1.8410086631774902,1.8377950191497803,0.003213644027709961
71,1.8039389848709106,1.8193292617797852,0.015390276908874512
72,1.784966230392456,1.781743049621582,0.0032231807708740234
73,1.7618850469589233,1.7622441053390503,0.0003590583801269531
74,1.744959831237793,1.7379010915756226,0.00705873966217041
75,1.7206389904022217,1.719342589378357,0.001296401023864746
