Time Step,True_rot_2_z,Predicted_rot_2_z,Absolute_Error
0,0.007945616073297246,0.006901864965290375,0.0010437511080068707
1,0.006896660968571987,0.007024331454337654,0.00012767048576566714
2,0.0072527050416878016,0.005804223878788384,0.0014484811628994176
3,0.007809646276199189,0.006162322918513803,0.0016473233576853865
4,0.009427706394876828,0.0065191234193486625,0.002908582975528166
5,0.008415407674912275,0.008130567685012136,0.00028483998990013956
6,0.00855454158937383,0.007396351312151679,0.0011581902772221505
7,0.007656334528203987,0.007990068294922338,0.0003337337667183504
8,0.006390547346100536,0.007539847618439737,0.0011493002723392005
9,0.007517236958079437,0.0065937639423831376,0.0009234730156962995
10,0.0074437240904987,0.00765605485121981,0.00021233076072110953
11,0.007922159179890285,0.007865881885273672,5.6277294616612766e-05
12,0.007209589550751303,0.008097799881693374,0.000888210330942071
13,0.006902148500030975,0.0075152534417128655,0.0006131049416818902
14,0.008090291378690898,0.007785433025769919,0.00030485835292097876
15,0.008663397218110576,0.008346764897397795,0.0003166323207127817
16,0.007604085920219687,0.008970374933881585,0.0013662890136618977
17,0.008025928356041328,0.007754396176232865,0.00027153217980846293
18,0.009881436834003136,0.008737383472403198,0.0011440533615999383
19,0.009832682549486747,0.010164989671158088,0.00033230712167134184
20,0.009474206553419667,0.010266305303963736,0.0007920987505440694
21,0.0070826310179070515,0.00992222765205791,0.0028395966341508583
22,0.008797689810138032,0.007439582908836331,0.0013581069013017012
23,0.008674817805087436,0.009200195466003177,0.000525377660915741
24,0.008426959387841878,0.008822104378701935,0.00039514499086005725
25,0.008432695247540093,0.008595242370060274,0.0001625471225201805
26,0.008408917576714893,0.008494420655850073,8.550307913517997e-05
27,0.006386272918276749,0.008339915712199525,0.001953642793922776
28,0.008421714689113999,0.006681149739558216,0.001740564949555783
29,0.008871848158127991,0.008549111248810734,0.00032273690931725746
30,0.009484419103838026,0.008884235458876089,0.000600183644961937
31,0.009078372959403112,0.00937396138087892,0.0002955884214758085
32,0.008882638712824261,0.009156101614474657,0.00027346290165039533
33,0.008303324812400646,0.008858851582306867,0.000555526769906221
34,0.0076960461662748895,0.008146994700599057,0.00045094853432416787
35,0.007219799146135814,0.00865649147948275,0.001436692333346935
36,0.009535756872406828,0.007414071191163347,0.0021216856812434817
37,0.009916801443254098,0.008883131399805193,0.0010336700434489046
38,0.00701928586311248,0.009276279690735162,0.002256993827622682
39,0.00866151037493501,0.007620404579374578,0.0010411057955604331
40,0.008761662627590433,0.008684395046500606,7.726758108982622e-05
41,0.008958197612064314,0.008813483641254371,0.0001447139708099423
42,0.006100772879613921,0.00838347175269774,0.0022826988730838185
43,0.007311978851842057,0.006841025860155867,0.00047095299168618994
44,0.007074329920173526,0.007384611618106969,0.0003102816979334436
45,0.005626817029892309,0.007316741192896454,0.0016899241630041447
46,0.005658532437716997,0.006245255770741792,0.0005867233330247952
47,0.006637930855082012,0.006219476709723943,0.0004184541453580697
48,0.007925646740044654,0.006278550206944188,0.0016470965331004655
49,0.005742256614144225,0.006510484868884733,0.0007682282547405075
50,0.007378464902541086,0.005393751029530378,0.001984713873010708
51,0.00489239844610024,0.006187603391510287,0.0012952049454100466
52,0.008263710092283669,0.0055970705844925394,0.0026666395077911296
53,0.006430099534387307,0.006869864167895939,0.0004397646335086323
54,0.007802398752609242,0.0062607617369194145,0.0015416370156898273
55,0.008393360162018904,0.00672537505198734,0.001667985110031564
56,0.007545327342162863,0.006890860813455937,0.0006544665287069266
57,0.0068565784779643524,0.006825907933869642,3.067054409471026e-05
58,0.007888307712891111,0.0067972337176729295,0.0010910739952181819
59,0.004863684204164617,0.0074764891275841475,0.0026128049234195308
60,0.009406336995268574,0.006386167786696147,0.0030201692085724263
61,0.007103750875243518,0.008527654044378448,0.0014239031691349298
62,0.006668549845304111,0.0076092871978472735,0.0009407373525431627
63,0.009741079656506894,0.0071398438044322395,0.0026012358520746542
64,0.008177979027294516,0.008970727215266368,0.0007927481879718527
65,0.005987494480947285,0.007981671095273108,0.001994176614325823
66,0.008997664563128126,0.006463775602807768,0.0025338889603203586
67,0.008496528777269956,0.008664461053338027,0.0001679322760680703
68,0.010337666871453386,0.008296256071503205,0.002041410799950181
69,0.007395301612493362,0.009784815008901996,0.0023895133964086336
70,0.0074558482515443515,0.007280018222932947,0.00017583002861140413
71,0.010689446684511076,0.007381762353567723,0.0033076843309433534
72,0.009351298509434183,0.010301792319765538,0.0009504938103313543
73,0.00742673764995938,0.0089749181283028,0.001548180478343421
74,0.007482159741872928,0.007103797809884927,0.00037836193198800133
75,0.00830682448203221,0.0071729885125769895,0.0011338359694552207
76,0.008144966228081833,0.00788463146275216,0.0002603347653296721
77,0.00669148525803441,0.0077275685179568595,0.0010360832599224492
78,0.006280514761755654,0.006629695867914235,0.0003491811061585807
79,0.0073081475161296,0.006621930629292484,0.0006862168868371158
80,0.007967255758908607,0.007541707505335211,0.0004255482535733962
81,0.007592611065728634,0.008004108261481197,0.00041149719575256285
82,0.006770861208376353,0.007756247860899701,0.0009853866525233483
83,0.00805681067487753,0.007382178128233885,0.0006746325466436449
84,0.006363325815594233,0.008189397677880003,0.00182607186228577
85,0.007795658531148645,0.007377251510041746,0.00041840702110689833
86,0.007366656356137393,0.008251269049937608,0.0008846126938002151
87,0.007726653278219619,0.008140885037579544,0.0004142317593599249
88,0.009456154912206301,0.008363590985360709,0.0010925639268455929
89,0.007411885666874094,0.009277224191494269,0.0018653385246201748
90,0.003942198530661615,0.0078787007489158,0.003936502218254184
91,0.0070734359368267285,0.005149180035858243,0.0019242559009684853
92,0.007884182572573787,0.008158041541766218,0.00027385896919243126
93,0.008630217673324064,0.008056245722069283,0.000573971951254781
94,0.008221154160697311,0.007982840344370214,0.0002383138163270966
95,0.006959822470310119,0.007695804159224251,0.0007359816889141316
96,0.006768638871761671,0.00703721877407477,0.00026857990231309893
97,0.006912697733954629,0.0070300223755696625,0.00011732464161503392
98,0.006072092598511313,0.006883913427333475,0.0008118208288221624
99,0.007524903534346707,0.0056634299512195625,0.0018614735831271444
100,0.007563363792836931,0.007023241855197785,0.0005401219376391453
101,0.007370141795367194,0.006921724763753932,0.0004484170316132619
102,0.005482340354179235,0.007092787747726814,0.0016104473935475792
103,0.005922348997732025,0.005375961588280929,0.000546387409451096
104,0.00706098283189981,0.005657566226857636,0.0014034166050421737
105,0.005886408563262575,0.006446537609061427,0.000560129045798852
106,0.0030130763644305256,0.005603897733350958,0.0025908213689204325
107,0.002510688671824293,0.0037657947490824088,0.001255106077258116
108,0.004482274212061046,0.003005860111257957,0.0014764141008030895
109,0.004506586737350198,0.004425697398524117,8.088933882608156e-05
110,0.004950994415393553,0.004428556989210929,0.0005224374261826245
111,0.0052063305016589265,0.00494223541304534,0.00026409508861358674
112,0.0052874389961056895,0.005191900609789629,9.553838631606078e-05
113,0.0037731944315430362,0.005213857502652205,0.001440663071109169
114,0.004891097712480922,0.004153975352123786,0.0007371223603571363
115,-0.006137628939452097,-0.007354587587899788,0.0012169586484476911
116,-0.008513303807084035,-0.006033081204612793,0.002480222602471242
117,-0.00844900619121381,-0.0076528413959386895,0.0007961647952751212
118,-0.008898600558452457,-0.007526936716579256,0.0013716638418732018
119,-0.007450942880742358,-0.008059944035223471,0.0006090011544811133
120,-0.0073211165128919484,-0.007660821524926105,0.0003397050120341567
121,-0.008631758187851975,-0.006738680964857078,0.0018930772229948968
122,-0.008045815410843503,-0.009605168255152743,0.0015593528443092405
123,-0.008468451617071241,-0.00883984689473231,0.0003713952776610678
124,-0.010025656072725365,-0.009306242783750274,0.0007194132889750907
125,-0.00925189288546642,-0.010774877363457051,0.0015229844779906312
126,-0.01036949063932727,-0.008713461883305145,0.0016560287560221255
127,-0.012185801813176135,-0.01059499813595611,0.0015908036772200249
128,-0.013175738261231366,-0.012725151642549167,0.00045058661868219857
129,-0.01164420231657135,-0.013767263471099602,0.002123061154528252
130,-0.009044321592459029,-0.013541295594104757,0.004496974001645728
131,-0.008841997271253104,-0.00975130245707228,0.0009093051858191752
132,-0.0070615682687108225,-0.009028415525409849,0.0019668472566990265
133,-0.005715952917548763,-0.0069655322066523835,0.0012495792891036202
134,-0.004506671004890041,-0.005742698965936845,0.0012360279610468044
135,0.00504414877038697,0.0039841847489113765,0.001059964021475594
136,0.006746116346918965,0.005291593386259245,0.00145452296065972
137,0.008497368041339604,0.006834501925880737,0.0016628661154588662
138,0.007826980627526013,0.008543537563556672,0.0007165569360306594
139,0.00892042520038381,0.00823222421092762,0.0006882009894561888
140,0.008076648600350823,0.008669511299432602,0.0005928626990817781
141,0.006946146574948114,0.008130321319785904,0.00118417474483779
142,0.007744568080675613,0.006800800549511279,0.0009437675311643346
143,0.007902495155110996,0.007570716413995695,0.00033177874111530066
144,0.008955889666847894,0.007683709747968436,0.0012721799188794587
145,0.007540177439488414,0.008703306898761155,0.001163129459272741
146,0.0068833464853479106,0.007877962511357035,0.0009946160260091248
147,0.006427932460551819,0.006710026397501026,0.0002820939369492072
148,0.005672122573111465,0.0064435034948458056,0.0007713809217343402
149,0.005690582813849094,0.005826172511112483,0.00013558969726338958
150,0.006667744877669662,0.0059463411958136664,0.0007214036818559959
151,0.006598065810429223,0.006739915101017829,0.00014184929058860558
152,0.0075556154489065264,0.006263028980833741,0.0012925864680727855
153,0.007598934969942521,0.007128822313645793,0.00047011265629672786
154,0.00909032251532596,0.007561028945071422,0.0015292935702545382
155,0.009021977862526143,0.009053039874261676,3.106201173553279e-05
156,0.006972585485690443,0.008588490127622507,0.0016159046419320644
157,0.0072131650864337765,0.006648444251938516,0.0005647208344952605
158,0.008517898938881645,0.007345253122918345,0.0011726458159633003
159,0.009450459588298174,0.008130026404516863,0.0013204331837813107
160,0.009840232003521287,0.009277514231080898,0.0005627177724403885
161,0.007985904377350736,0.009108314907309817,0.0011224105299590809
162,0.00744906085008078,0.0073557435252261895,9.331732485459016e-05
163,0.006388211879535267,0.007749545077335464,0.0013613331978001965
164,0.007481530455041312,0.006270200407646252,0.0012113300473950601
165,0.008196055786071889,0.007455020728677725,0.0007410350573941642
166,0.007703517366042278,0.008116464656627522,0.0004129472905852437
167,0.008119177674679295,0.007675002268962168,0.0004441754057171272
168,0.0076198843926859015,0.008252163624640048,0.0006322792319541463
169,0.007022938263919665,0.007934072915291237,0.0009111346513715722
170,0.007171818126270189,0.007442014915976741,0.0002701967897065522
171,0.00777115664077584,0.007656063851511405,0.00011509278926443486
172,0.0065672024145401655,0.00845812328999577,0.0018909208754556046
173,0.008001155522556024,0.007465635666995089,0.0005355198555609345
174,0.008454681751569004,0.00885887111538541,0.0004041893638164068
175,0.009835589564338817,0.00872246286471089,0.0011131266996279275
176,0.008632449439754577,0.010455145272226117,0.0018226958324715405
177,0.008782727248391886,0.00901662637418895,0.0002338991257970647
178,0.008975837474799613,0.009441395979367374,0.00046555850456776043
179,0.010223849129377696,0.00919802988850534,0.0010258192408723558
180,0.010422562937869993,0.010530151176276367,0.00010758823840637324
181,0.00832946041169029,0.010410727116125923,0.002081266704435633
182,0.008704396119490254,0.00866070753017299,4.368858931726345e-05
183,0.008851698439134978,0.008879094496870932,2.7396057735953883e-05
184,0.00876568946035558,0.009185654063661428,0.0004199646033058481
185,0.008516464825848814,0.008863206321405066,0.00034674149555625165
186,0.008368918313353768,0.008857574220230103,0.0004886559068763355
187,0.008844003387043836,0.009050996310838442,0.00020699292379460638
188,0.010161095706333131,0.009341874240267695,0.0008192214660654364
189,0.00983822186971645,0.01086759999038172,0.0010293781206652704
190,0.009386260456565751,0.01061146623572913,0.0012252057791633797
191,0.010789540854631647,0.010194006694472077,0.0005955341601595696
192,0.008810138892163257,0.011768286905259297,0.0029581480130960406
193,0.008064618071752475,0.009758080981630765,0.0016934629098782905
194,0.008295506481135837,0.008828356162594536,0.0005328496814586987
195,0.006222796827805244,0.00795404664380759,0.0017312498160023462
196,0.00784548899529646,0.008390905648815946,0.0005454166535194867
197,0.009089692635341316,0.008882438289261043,0.00020725434608027254
198,0.008513661224282121,0.008636364146925575,0.00012270292264345353
199,0.007591678777128634,0.007989010539632758,0.000397331762504124
200,0.007807620389217211,0.006959873184952846,0.0008477472042643652
201,0.007722791814269985,0.007364292685942339,0.0003584991283276462
202,0.008128930786270153,0.0071678103196105595,0.0009611204666595931
203,0.008399639204490236,0.007924436652195771,0.0004752025522944646
204,0.007313758447766555,0.008088914717002599,0.000775156269236044
205,0.007463835272832099,0.007532683416044728,6.884814321262908e-05
206,0.008449697248948002,0.007693905557139643,0.0007557916918083593
207,0.009307935826644423,0.0077005337001212135,0.0016074021265232094
208,0.009122560704316468,0.00793063224028231,0.0011919284640341584
