Time Step,True_pos_y,Predicted_pos_y,Absolute_Error
0,0.20494580268859863,0.20457889139652252,0.00036691129207611084
1,0.2056599259376526,0.20538169145584106,0.00027823448181152344
2,0.2059132605791092,0.20572715997695923,0.00018610060214996338
3,0.2062380313873291,0.20611518621444702,0.00012284517288208008
4,0.20639356970787048,0.2065047025680542,0.00011113286018371582
5,0.2066607028245926,0.20660358667373657,5.7116150856018066e-05
6,0.2075139284133911,0.20684614777565002,0.0006677806377410889
7,0.20756025612354279,0.20764313638210297,8.288025856018066e-05
8,0.20803770422935486,0.2076759785413742,0.00036172568798065186
9,0.2085767686367035,0.20808863639831543,0.0004881322383880615
10,0.2089678794145584,0.20859158039093018,0.00037629902362823486
11,0.21006710827350616,0.2089531421661377,0.0011139661073684692
12,0.21048012375831604,0.21003569662570953,0.00044442713260650635
13,0.21066157519817352,0.2104254961013794,0.00023607909679412842
14,0.21124057471752167,0.21059583127498627,0.0006447434425354004
15,0.21209420263767242,0.21095885336399078,0.0011353492736816406
16,0.21297204494476318,0.21175312995910645,0.0012189149856567383
17,0.2136717140674591,0.21288277208805084,0.0007889419794082642
18,0.2140447050333023,0.21363544464111328,0.0004092603921890259
19,0.21461334824562073,0.2138998806476593,0.0007134675979614258
20,0.21549475193023682,0.21445879340171814,0.0010359585285186768
21,0.21638408303260803,0.21545356512069702,0.0009305179119110107
22,0.2167397141456604,0.2164587676525116,0.0002809464931488037
23,0.21698351204395294,0.2168256789445877,0.00015783309936523438
24,0.2177949994802475,0.2171076387166977,0.0006873607635498047
25,0.2186930924654007,0.21804583072662354,0.0006472617387771606
26,0.21887356042861938,0.21905997395515442,0.00018641352653503418
27,0.2194228321313858,0.21933430433273315,8.852779865264893e-05
28,0.2202620804309845,0.21989497542381287,0.00036710500717163086
29,0.22054393589496613,0.22068777680397034,0.00014384090900421143
30,0.22128523886203766,0.22094523906707764,0.00033999979496002197
31,0.2222682237625122,0.2216169685125351,0.0006512552499771118
32,0.222328782081604,0.22265149652957916,0.0003227144479751587
33,0.22282081842422485,0.22270603477954865,0.0001147836446762085
34,0.22327156364917755,0.22310036420822144,0.00017119944095611572
35,0.22029423713684082,0.22054578363895416,0.0002515465021133423
36,0.21944576501846313,0.22081145644187927,0.0013656914234161377
37,0.21838410198688507,0.21984466910362244,0.0014605671167373657
38,0.2176879346370697,0.21916133165359497,0.0014733970165252686
39,0.21737796068191528,0.21866929531097412,0.0012913346290588379
40,0.21766744554042816,0.21792729198932648,0.00025984644889831543
