Time Step,True_rot_3_w,Predicted_rot_3_w,Absolute_Error
0,0.029225270016835524,0.030155368290617685,0.0009300982737821609
1,0.03304175864460215,0.032306240454088704,0.0007355181905134428
2,0.03564724182911697,0.03699980495592499,0.0013525631268080165
3,0.036585808339685166,0.03915808443228227,0.002572276092597102
4,0.039797611672934954,0.040911908015386286,0.001114296342451332
5,0.04286175051543575,0.04479957417459965,0.0019378236591639023
6,0.04539287054647362,0.04819398319928497,0.002801112652811355
7,0.04726016343775437,0.05061927934710695,0.003359115909352582
8,0.051090657543898174,0.05218730693006403,0.0010966493861658544
9,0.054446708539714735,0.05577720181737748,0.001330493277662742
10,0.05781136314398262,0.05894368128417351,0.0011323181401908869
11,0.0632019960681963,0.0616536052252305,0.001548390842965805
12,0.06712284166090204,0.06705022455974412,7.26171011579263e-05
13,0.07183353802349546,0.07073890021363634,0.0010946378098591197
14,0.07438491817044941,0.07468926734148246,0.00030434917103304426
15,0.0769854741115682,0.07815264068260833,0.001167166571040129
16,0.08480992420347387,0.08034812542936824,0.00446179877410563
17,0.0887920186458305,0.08777416138138401,0.0010178572644464895
18,0.0914713530046168,0.0913101057537431,0.00016124725087370007
19,0.09578105734418055,0.09490527494046845,0.000875782403712097
20,0.09847341144126633,0.09900086358537334,0.0005274521441070157
21,0.10365515348232938,0.10119567153402982,0.0024594819482995633
22,0.10490225661640341,0.10634856610057081,0.0014463094841673935
23,0.10792614303195965,0.1075645307223138,0.0003616123096458479
24,0.11247158041518844,0.11098290437089964,0.001488676044288803
25,0.11620015563043035,0.11551538462835902,0.0006847710020713299
26,0.12013349257270374,0.11937224643806983,0.0007612461346339083
27,0.12337516294113879,0.12354107395594395,0.0001659110148051618
28,0.12667852378177855,0.12644877782318698,0.00022974595859157065
29,0.13098304753677512,0.12987366464880903,0.0011093828879660816
30,0.13311127617695773,0.13411876829733146,0.0010074921203737375
31,0.13993914290360887,0.1364881465887697,0.0034509963148391665
32,0.1443537524898282,0.14275545098431291,0.0015983015055152927
33,0.14688994061918184,0.14672570018878145,0.00016424043040039193
34,0.14912481565563293,0.1492657668230009,0.00014095116736798086
35,0.9951972338109604,0.9953618971241943,0.00016466331323394812
36,0.9956849381317955,0.995605598875368,7.933925642744644e-05
37,0.9965934009666791,0.9961057324721925,0.0004876684944866705
38,0.9969378918835679,0.9968933904465803,4.450143698753184e-05
39,0.9970476589255342,0.9971061186215263,5.8459695992163496e-05
40,0.9973269213582572,0.9972375386816493,8.938267660785204e-05
41,0.9979545868661099,0.997491308243381,0.0004632786227289909
42,0.9981402923541737,0.9981192715076548,2.1020846518893244e-05
43,0.9982504393484775,0.9982319162998725,1.8523048604945913e-05
44,0.9984635887944148,0.9983906883815099,7.290041290486382e-05
45,0.998585297058028,0.9985812292440646,4.067813963448685e-06
46,0.9989085609534909,0.9986838680193023,0.00022469293418858616
47,0.9990125647121567,0.9990028370496529,9.727662503844492e-06
48,0.9992061013032906,0.9991341798124709,7.192149081969301e-05
49,0.9994581678440683,0.9993379537954072,0.00012021404866102703
50,0.9994914879869901,0.9995352802971141,4.3792310124080025e-05
51,0.9996753632730574,0.9996106270976914,6.473617536595366e-05
52,0.9997351414444945,0.9997311915899163,3.949854578189083e-06
53,0.9998103076533541,0.9998278749650407,1.756731168656156e-05
54,0.9998388587998317,0.9998612919994712,2.243319963946e-05
55,0.9998851681336206,0.9998972878370579,1.2119703437285523e-05
56,0.9999210453683175,0.9999255497004074,4.5043320898718875e-06
57,0.9999464847666143,0.9999425152214224,3.969545191884194e-06
58,0.9999456524949492,0.9999503974035608,4.74490861168686e-06
59,0.9999646939296524,0.9999430362705231,2.1657659129314943e-05
60,0.9999319851884186,0.9999514103002085,1.9425111789872496e-05
61,0.9999274713868895,0.9999222992580423,5.172128847208413e-06
62,0.9999142607911266,0.9999111814468095,3.079344317091781e-06
63,0.9998594916282263,0.9998929017078966,3.341007967028187e-05
64,0.9998371180414393,0.9998384617822101,1.3437407708760674e-06
65,0.9998089336070546,0.9998210459619987,1.2112354944138204e-05
66,0.9997508461764724,0.9997852513479257,3.4405171453366634e-05
67,0.9997238767495618,0.9997218409849683,2.035764593455447e-06
68,0.999678372189914,0.9997004354493051,2.2063259391136292e-05
69,0.9996889005832263,0.9996453756266733,4.3524956553020466e-05
70,0.9996571133500182,0.9996607251512482,3.6118012299857227e-06
71,0.9994800771526681,0.9996168522874728,0.00013677513480470083
72,0.999495399976325,0.9994273224577729,6.807751855208988e-05
73,0.9994294853970537,0.9994441107137146,1.462531666096556e-05
74,0.9994158495322277,0.9993653533035487,5.049622867903114e-05
75,0.9993885247984877,0.9993413696953124,4.7155103175322566e-05
76,0.9992127328733332,0.9993020443779448,8.931150461155557e-05
77,0.9991506090451109,0.9991074504770369,4.3158568074019854e-05
78,0.9991020805410248,0.9990217801868424,8.030035418238324e-05
79,0.9990227043774821,0.9989611542658592,6.155011162289892e-05
80,0.9988811733315518,0.9988768937538289,4.2795777228654686e-06
81,0.9986720337059952,0.998726722036935,5.468833093980052e-05
82,0.9985186097881565,0.9985034578588085,1.515192934808951e-05
83,0.9984400741069875,0.9983388676000539,0.00010120650693368205
84,0.9982640335502616,0.9982508684081838,1.3165142077831149e-05
85,0.9981969975657851,0.9980507146784708,0.00014628288731421968
86,0.9979513320637505,0.9979997352290468,4.840316529630684e-05
87,0.9977938848255484,0.9977076432749836,8.624155056480287e-05
88,0.9976398343330127,0.9975484843084664,9.135002454629948e-05
89,0.9974212991980776,0.997359870395049,6.142880302861808e-05
90,0.9972801382151909,0.9971117802450757,0.00016835797011516274
91,0.996724430431694,0.9970039809199657,0.0002795504882716626
92,0.9965851184046914,0.9963999002992271,0.00018521810546434647
93,0.9961883866467557,0.9962271972174513,3.881057069565763e-05
94,0.9959350608875119,0.9957870478074604,0.00014801308005152336
95,0.9956089240375032,0.9955275799202344,8.134411726878898e-05
96,0.9947406118250083,0.9952301661898243,0.0004895543648160139
97,0.9944318875432302,0.9943361647354643,9.572280776593001e-05
98,0.9940223017993628,0.9939929731871466,2.9328612216161787e-05
99,0.9937030065425025,0.9935608800881998,0.00014212645430278226
100,0.9933132250730128,0.9932340355697987,7.918950321406104e-05
101,0.9927600784355017,0.9928548363052944,9.475786979262768e-05
102,0.9925284824419144,0.9923417449899236,0.00018673745199082603
103,0.9922250777739214,0.9921255296994612,9.954807446022063e-05
104,0.9917890708098798,0.9917658333644775,2.3237445402224388e-05
105,0.9913639802292644,0.9913257415334762,3.823869578822858e-05
106,0.9906689254374587,0.9909642797663328,0.00029535432887417556
107,0.9902866165669436,0.9901629332966482,0.00012368327029543824
108,0.9899037606003888,0.9897268136374212,0.0001769469629675502
109,0.9894848753698761,0.9894618748088092,2.3000561066854885e-05
110,0.9889722670702443,0.9891277605532158,0.00015549348297150267
111,0.9881850356951968,0.9886624912735336,0.00047745557833678287
112,0.9877695422100009,0.9878927346262434,0.00012319241624247912
113,0.9874145851524492,0.987526060366295,0.00011147521384580195
114,0.9869747319085811,0.9872895834062124,0.0003148514976313299
115,0.07720036091058853,0.0764942154116351,0.0007061454989534255
116,0.07076716462230712,0.0738342979523341,0.0030671333300269776
117,0.0667636329395247,0.0670406341872494,0.0002770012477247008
118,0.06277851585247879,0.06376308554524328,0.0009845696927644892
119,0.05911024723745018,0.060265302043761466,0.0011550548063112842
120,0.05600237490824866,0.058338529029846514,0.002336154121597857
121,0.05152222028566325,0.053266663854462305,0.0017444435687990548
122,0.04875970674311946,0.051397457142793486,0.0026377503996740242
123,0.04548169299389514,0.047559501359478146,0.0020778083655830087
124,0.04170553349090504,0.043364825742051014,0.0016592922511459718
125,0.0393752404721563,0.0393826310860367,7.390613880400854e-06
126,0.030883625681082844,0.03460798222456477,0.0037243565434819277
127,0.02776394987885156,0.02868221374560833,0.0009182638667567695
128,0.02376204656927007,0.025737791114704762,0.001975744545434692
129,0.020580233755446545,0.021207627438987613,0.0006273936835410679
130,0.01579658787653199,0.017147899612912985,0.0013513117363809952
131,0.008252229062394957,0.011071318506400574,0.0028190894440056173
132,0.004259396932584748,0.004253075275480315,6.321657104432603e-06
133,0.00039324915491514297,0.0002818750431784483,0.00011137411173669468
134,-0.0041180567854931,-0.002966100651571346,0.0011519561339217543
135,0.00809306264757018,0.008944460283585864,0.0008513976360156848
136,0.009714084233351851,0.011571958561492155,0.0018578743281403038
137,0.01216186777512994,0.013494367830571345,0.0013325000554414053
138,0.015770241018073693,0.015996697463775553,0.00022645644570186071
139,0.017004948527359474,0.018795959989172044,0.0017910114618125694
140,0.02048260112199544,0.02120460270198521,0.0007220015799897679
141,0.022305645043044435,0.023569368914372484,0.0012637238713280492
142,0.024468701515900446,0.025077854868384198,0.0006091533524837517
143,0.02724394265804728,0.026989483078520997,0.00025445957952628315
144,0.029176779683194744,0.029666877401838022,0.0004900977186432787
145,0.031758241948220536,0.03149867815545506,0.00025956379276547564
146,0.03632226168614198,0.03410663717426498,0.0022156245118769985
147,0.0381158197767677,0.03881702530380298,0.0007012055270352799
148,0.04061490874407173,0.04031602262954181,0.0002988861145299254
149,0.04189939455375046,0.04258193831179349,0.0006825437580430249
150,0.04394448477161325,0.04404507555316584,0.0001005907815525911
151,0.0472059074290079,0.04651864774140722,0.0006872596876006803
152,0.04928276373307682,0.050086919360018134,0.0008041556269413122
153,0.051045873254093196,0.052147987870349945,0.0011021146162567483
154,0.05271870516756779,0.05384728654816093,0.001128581380593137
155,0.05525133117961838,0.05562640397305796,0.00037507279343957506
156,0.05924595829112365,0.05818180050412327,0.0010641577870003777
157,0.06097648303038587,0.062023406369347056,0.0010469233389611837
158,0.06264855581114709,0.06359273211423659,0.0009441763030895028
159,0.06531482512589322,0.06523522721134589,7.959791454732745e-05
160,0.06703394081671776,0.06758807203315112,0.0005541312164333567
