Time Step,True_rot_1_y,Predicted_rot_1_y,Absolute_Error
0,-0.999512080611386,-0.9994982904331893,1.3790178196693148e-05
1,-0.9994167803489498,-0.9994250440394217,8.263690471910223e-06
2,-0.9993153960907577,-0.9992750894980689,4.030659268883241e-05
3,-0.9992769215611093,-0.9991876922558981,8.922930521115813e-05
4,-0.9991410475132954,-0.9991136617664313,2.7385746864005966e-05
5,-0.9990254541309845,-0.9989379228195363,8.753131144823012e-05
6,-0.9989080537695659,-0.9987854435603538,0.00012261020921211507
7,-0.9988226906168873,-0.9986588942199458,0.00016379639694152903
8,-0.9986388078989477,-0.9985799905633758,5.881733557189239e-05
9,-0.9984589211797598,-0.998391852029626,6.706915013376946e-05
10,-0.9982679299828038,-0.9982034228451796,6.450713762418125e-05
11,-0.9979419007173069,-0.9980365777545521,9.467703724519438e-05
12,-0.99769053963474,-0.9976855909589664,4.9486757736083575e-06
13,-0.9973386467972147,-0.99743542730043,9.678050321526577e-05
14,-0.9971692738228392,-0.9971350395239013,3.423429893789631e-05
15,-0.9969716965226629,-0.9968768047233377,9.489179932520297e-05
16,-0.9963423594036362,-0.9966979704659469,0.00035561106231063455
17,-0.9959689818075915,-0.9960758941105436,0.0001069123029521224
18,-0.9957275257386149,-0.9957415848143988,1.4059075783889874e-05
19,-0.9953241745138608,-0.99540272319357,7.854867970924495e-05
20,-0.9950540021672855,-0.9950043764566535,4.962571063193977e-05
21,-0.9945432398719206,-0.9947791061888824,0.00023586631696181914
22,-0.9943932016208293,-0.9942598725232381,0.00013332909759122824
23,-0.9940828094527808,-0.9941125526084587,2.974315567783048e-05
24,-0.9935796345918154,-0.993745772085637,0.00016613749382154985
25,-0.9931524089350193,-0.9932288582796002,7.64493445808423e-05
26,-0.9926914010574782,-0.992773744697093,8.23436396147903e-05
27,-0.9922946814315381,-0.9922692972491536,2.5384182384513565e-05
28,-0.9918603507146856,-0.9919087615133063,4.841079862072384e-05
29,-0.9912880337558677,-0.9914516448761242,0.0001636111202565349
30,-0.9910293103997329,-0.990879256289459,0.00015005411027380067
31,-0.9900931086148967,-0.9905703729835509,0.00047726436865414
32,-0.9894573680188392,-0.989687633403316,0.000230265384476791
33,-0.9890918442895325,-0.989108106374845,1.6262085312579444e-05
34,-0.9887631636036273,-0.9887371604049091,2.600319871814971e-05
35,-0.09756141377877894,-0.09576079701150444,0.0018006167672744988
36,-0.09224298014781845,-0.09329895017680216,0.0010559700289837076
37,-0.08174437709330452,-0.08764003399328771,0.005895656899983184
38,-0.07780388013232811,-0.07806447061642839,0.00026059048410027874
39,-0.07609255345373991,-0.07555511288512483,0.0005374405686150857
40,-0.07236288995182126,-0.07352006920343471,0.0011571792516134466
41,-0.06311667354585802,-0.0700246483281134,0.006907974782255383
42,-0.06052233755993131,-0.060500130257584855,2.220730234645668e-05
43,-0.058552899923615884,-0.05887795792813987,0.0003250580045239884
44,-0.05482239454631916,-0.05604772482511649,0.0012253302787973291
45,-0.0527115611794789,-0.05255584588806418,0.00015571529141471946
46,-0.04616290720981724,-0.05067893847738727,0.004516031267570025
47,-0.04367725739461409,-0.04392695401755968,0.0002496966229455916
48,-0.03841518704996115,-0.0407674632556296,0.002352276205668448
49,-0.032042493865549956,-0.03497728698430825,0.002934793118758293
50,-0.030605468438532513,-0.029511826013064964,0.001093642425467549
51,-0.02446250956193364,-0.02655153789903426,0.0020890283371006214
52,-0.02075867627939426,-0.021738901619280555,0.000980225339886294
53,-0.01700954899873337,-0.01598297175156053,0.0010265772471728385
54,-0.014904378077593709,-0.013557940929252802,0.0013464371483409062
55,-0.009977256907072773,-0.010383529036900596,0.00040627212982782303
56,-0.007427879020428067,-0.005536673051352521,0.0018912059690755463
57,-0.00450623334411338,-0.0035212221350372813,0.000985011209076099
58,-0.001557986277340398,-0.0008063990203681933,0.0007515872569722046
59,0.0012528095980627078,0.0023678155294225072,0.0011150059313597995
60,0.0032172130102664748,0.0033825780487750107,0.000165365038508536
61,0.008180923526853545,0.006793011458733935,0.0013879120681196096
62,0.009944974667676095,0.010101303732777284,0.00015632906510118852
63,0.012445552249865545,0.011809894894152921,0.0006356573557126238
64,0.014557842330012475,0.014727818807677238,0.0001699764776647624
65,0.017017891286387758,0.01603032979451869,0.0009875614918690677
66,0.01965929010345376,0.018408117848608498,0.0012511722548452613
67,0.021069342990804193,0.02126537499868814,0.00019603200788394573
68,0.022669820326310222,0.02226995151033248,0.0003998688159777414
69,0.023238549930696493,0.024297086258828364,0.0010585363281318712
70,0.024633632528466388,0.024455194505695013,0.00017843802277137458
71,0.030183739326209234,0.026230031503728612,0.0039537078224806226
72,0.029695477912227448,0.03199291191758848,0.0022974340053610355
73,0.03246901600519515,0.03149308287732718,0.0009759331278679714
74,0.0329356522309935,0.034475124066984976,0.001539471835991478
75,0.03390251755147115,0.03520421150536485,0.0013016939538937067
76,0.038433030055761395,0.03646198163602624,0.0019710484197351524
77,0.04019499268590322,0.04118045547899682,0.0009854627930935972
78,0.041446367234281474,0.04334547927059284,0.001899112036311365
79,0.043054177754511036,0.044745457502183665,0.001691279747672629
80,0.04609128212929202,0.046374389231677915,0.0002831071023858961
81,0.05064595042311945,0.049410651425442445,0.0012352989976770062
82,0.053612863375301495,0.0538998058987232,0.0002869425234217071
83,0.0549073899856664,0.056850904888408715,0.0019435149027423188
84,0.058110381492613064,0.058281380919607516,0.00017099942699445175
85,0.059220874865211694,0.06162182452022229,0.002400949655010594
86,0.06328757888149601,0.06244154809506544,0.0008460307864305711
87,0.06566095060727746,0.06696143411398212,0.0013004835067046555
88,0.0677740249968635,0.06923732541265076,0.0014633004157872664
89,0.07114726525182256,0.07179924425848534,0.0006519790066627784
90,0.07336134318087413,0.07530614084123048,0.001944797660356351
91,0.08027352037531699,0.07687535597325157,0.003398164402065418
92,0.08194582353099322,0.08409502665096374,0.002149203119970522
93,0.08652513907321685,0.08614011805643505,0.00038502101678179745
94,0.0894728733349682,0.09101133049567375,0.001538457160705553
95,0.0931212690744772,0.0938548468106452,0.0007335777361680007
96,0.10201125686781196,0.09696786016460228,0.005043396703209677
97,0.10498011229556878,0.10576722770091883,0.0007871154053500501
98,0.10887457333127536,0.10896937486663179,9.480153535643132e-05
99,0.11169770923694251,0.11292878709969892,0.001231077862756405
100,0.11501350857531585,0.11576574707766132,0.0007522385023454731
101,0.11956553651493317,0.11879725943442751,0.0007682770805056555
102,0.12155171398538074,0.12275168826307194,0.001199974277691196
103,0.12403351866456327,0.12460549495764217,0.0005719762930788963
104,0.12731757596166252,0.12751737301035612,0.00019979704869360626
105,0.13061581905419628,0.13077249620912523,0.0001566771549289525
106,0.1359989555214838,0.13349930132958215,0.0024996541919016513
107,0.13875251272537356,0.13961011012795368,0.0008575974025801236
108,0.14147818531045894,0.14269731729328244,0.0012191319828235014
109,0.14432952446081607,0.14452755951836177,0.0001980350575457035
110,0.1477803614328159,0.14674632668073512,0.0010340347520807758
111,0.15298543394558056,0.14983657964564842,0.003148854299932141
112,0.15561911144370794,0.15486562091032866,0.0007534905333792807
113,0.1578361226383655,0.1571737234452471,0.0006623991931183904
114,0.1604956167572226,0.15861007337903002,0.0018855433781925779
115,0.9969790397374858,0.997021048901515,4.200916402918864e-05
116,0.997442868338323,0.9972339365191853,0.00020893181913761438
117,0.9977176855506356,0.9977034071772993,1.42783733362295e-05
118,0.9979708635427443,0.9979171682537613,5.369528898302445e-05
119,0.9981968920544432,0.998129351409463,6.754064498015744e-05
120,0.9983910133296615,0.9982444984985672,0.00014651483109429098
121,0.998601739726838,0.9985436655619336,5.807416490433148e-05
122,0.9987491638900892,0.9986127355259102,0.000136428364178931
123,0.998905961954622,0.9988145906686386,9.137128598335487e-05
124,0.99905443410342,0.9990046108093833,4.982329403668828e-05
125,0.9991760823733865,0.9991541737170636,2.1908656322899844e-05
126,0.9994443117115572,0.9993555294283507,8.878228320652326e-05
127,0.9995082793776722,0.9995179249371269,9.645559454707353e-06
128,0.9995919391352297,0.9995786562998827,1.3282835346961619e-05
129,0.9997017464339288,0.999672934658378,2.8811775550807717e-05
130,0.9998237910249475,0.9997532196250024,7.05713999450408e-05
131,0.9999135173868139,0.9998783106725762,3.520671423773436e-05
132,0.9999503530108549,0.9999299112512738,2.044175958104688e-05
133,0.999957161152775,0.9999514480682459,5.713084529124224e-06
134,0.9999684033805614,0.9999536760932444,1.4727287316995685e-05
135,-0.9999281811755343,-0.9999299308292241,1.74965368981983e-06
136,-0.9999083625785496,-0.9998959609107747,1.2401667774941671e-05
137,-0.9998728496905859,-0.999861057639689,1.1792050896852757e-05
138,-0.9998200020295434,-0.9998129700333779,7.031996165474119e-06
