Time Step,True_rot_0_x,Predicted_rot_0_x,Absolute_Error
0,0.0076388146696468725,0.006795987374184863,0.0008428272954620099
1,0.00517468937186748,0.007519770085731352,0.002345080713863872
2,0.006738809652070209,0.006827951890198272,8.914223812806366e-05
3,0.006791324504481574,0.007254367248397503,0.00046304274391592917
4,0.00666600564785606,0.007457055991261124,0.0007910503434050645
5,0.006339815044441613,0.007065293757790594,0.0007254787133489813
6,0.0070005168412608666,0.007090254057625657,8.973721636479012e-05
7,0.007816022151370101,0.007366163344437986,0.0004498588069321149
8,0.008332885125697855,0.007591978643708154,0.0007409064819897011
9,0.007670058295610585,0.007689982792515034,1.9924496904449168e-05
10,0.0079735331533105,0.007546779508667942,0.0004267536446425574
11,0.007396612714790692,0.007742759771552041,0.00034614705676134887
12,0.007492200559032627,0.007883819913083536,0.0003916193540509094
13,0.010388780766326076,0.007880185802416544,0.0025085949639095315
14,0.0074074609560290565,0.009089187546830375,0.0016817265908013182
15,0.006754158510265211,0.007689764279293542,0.0009356057690283314
16,0.007166414160117293,0.007541006736148511,0.00037459257603121836
17,0.009866568601689704,0.008269165956608393,0.0015974026450813108
18,0.00787675517305465,0.009209722504287084,0.0013329673312324347
19,0.007687329589207283,0.007942319074710885,0.00025498948550360147
20,0.008986624514805915,0.007728053885825907,0.0012585706289800084
21,0.009444020302963792,0.008689956918497768,0.0007540633844660243
22,0.01001387942145115,0.009052125969594623,0.0009617534518565271
23,0.008721418276844549,0.009244505404306557,0.0005230871274620082
24,0.008867901599593933,0.008620085478247566,0.00024781612134636664
25,0.008643269571992787,0.008874277624920842,0.0002310080529280556
26,0.007811295283921514,0.008854571596713455,0.0010432763127919409
27,0.009436624933914726,0.008348088906816086,0.0010885360270986404
28,0.009729903098483319,0.009114694636618563,0.0006152084618647555
29,0.01061911958043171,0.009131254019679447,0.001487865560752262
30,0.007234630428312559,0.00956691203924293,0.0023322816109303717
31,0.0070891255528225915,0.007311009234124234,0.00022188368130164268
32,0.00756371237120866,0.0074454889721495675,0.00011822339905909283
33,0.007191919207291378,0.007631746610225643,0.00043982740293426435
34,0.0070687007028480825,0.007223916287352869,0.0001552155845047868
35,-0.0034800656298735657,-0.00310300891257945,0.0003770567172941158
36,-0.003435976106193721,-0.0031351128047706523,0.00030086330142306853
37,-0.004594236871386987,-0.0036992099462054015,0.0008950269251815851
38,-0.0034821816543054137,-0.0048432578289738255,0.0013610761746684118
39,-0.005555841792762579,-0.0035696720405756,0.0019861697521869792
40,-0.00508501326267948,-0.006055753558761622,0.0009707402960821418
41,-0.004762223109080427,-0.00547367440918213,0.0007114513001017023
42,-0.003972908969230524,-0.005231776487531555,0.0012588675183010309
43,-0.0037620760727239393,-0.004430317785124292,0.0006682417124003531
44,-0.0038627404994234144,-0.0044892545341618535,0.000626514034738439
45,-0.004151475359944512,-0.004458358747258285,0.00030688338731377305
46,-0.004319011740553646,-0.004813910382218593,0.0004948986416649466
47,-0.00470431798315129,-0.005007233461834159,0.00030291547868286934
48,-0.006973137453597152,-0.005429961092024101,0.0015431763615730513
49,-0.0048657790364732825,-0.0076063845549615245,0.002740605518488242
50,-0.005062509149858206,-0.005402130744028494,0.00033962159417028764
51,-0.005178622235464623,-0.00594336544607558,0.0007647432106109566
52,-0.0055168302125759875,-0.005799786156866552,0.0002829559442905647
53,-0.006976945817678615,-0.006447481926648558,0.000529463891030057
54,-0.0062640659060887605,-0.007374405832397857,0.0011103399263090964
55,-0.007723755317324146,-0.007236396288592272,0.00048735902873187423
56,-0.006767398177182914,-0.008411679089823898,0.0016442809126409842
57,-0.006301491531004908,-0.007481592625196164,0.0011801010941912566
58,-0.006636214028862642,-0.007235334606516935,0.0005991205776542932
59,-0.006736908656771491,-0.00724015013872407,0.0005032414819525792
60,-0.006098800039853094,-0.006704630144054234,0.0006058301042011407
61,-0.005259389657693575,-0.0060439687566227526,0.0007845790989291779
62,-0.005300847890169094,-0.004206141805071687,0.0010947060850974065
63,-0.0055871815136243905,-0.00487176838529576,0.0007154131283286305
64,-0.006850348335135402,-0.005066334708797938,0.0017840136263374638
65,-0.007525793348829145,-0.006098975705862476,0.001426817642966669
66,-0.005549767064044425,-0.0069865577642400385,0.0014367907001956136
67,-0.0060051678994231935,-0.0053806689590034824,0.0006244989404197111
68,-0.0047290660548979626,-0.005853268949332374,0.0011242028944344114
69,-0.005232720313459586,-0.004799164800231468,0.0004335555132281184
70,-0.004821846535441752,-0.005232531552041911,0.0004106850166001588
71,-0.0037753125384759256,-0.004862474139137273,0.0010871616006613476
72,-0.006298986737415099,-0.003918390858603793,0.002380595878811306
