Time Step,True_pos_x,Predicted_pos_x,Absolute_Error
0,-0.04251398146152496,-0.04368863254785538,0.0011746510863304138
1,-0.039734046906232834,-0.04345674440264702,0.0037226974964141846
2,-0.03899355232715607,-0.04105137661099434,0.002057824283838272
3,-0.03760406747460365,-0.03947703167796135,0.0018729642033576965
4,-0.035930193960666656,-0.03722722828388214,0.0012970343232154846
5,-0.034442346543073654,-0.034356486052274704,8.58604907989502e-05
6,-0.032750681042671204,-0.031831126660108566,0.0009195543825626373
7,-0.03048904985189438,-0.029098961502313614,0.0013900883495807648
8,-0.028316212818026543,-0.025758225470781326,0.0025579873472452164
9,-0.025367867201566696,-0.022872978821396828,0.0024948883801698685
10,-0.02265344001352787,-0.019317710772156715,0.003335729241371155
11,-0.015260341577231884,-0.016378195956349373,0.0011178543791174889
12,-0.011272519826889038,-0.008634218946099281,0.0026383008807897568
13,-0.008261345326900482,-0.004510550294071436,0.0037507950328290462
14,-0.001864956459030509,-0.00125891191419214,0.0006060445448383689
15,0.002533571096137166,0.006166432984173298,0.003632861888036132
16,0.013031423091888428,0.010212796740233898,0.0028186263516545296
17,0.017667854204773903,0.02065679244697094,0.0029889382421970367
18,0.02445344440639019,0.025426246225833893,0.0009728018194437027
19,0.030491093173623085,0.03315077722072601,0.002659684047102928
20,0.03662910312414169,0.03924788534641266,0.0026187822222709656
21,0.04680841788649559,0.045512083917856216,0.0012963339686393738
22,0.05018589645624161,0.05598457530140877,0.00579867884516716
23,0.05749469995498657,0.05960778519511223,0.002113085240125656
24,0.06444896757602692,0.06736544519662857,0.002916477620601654
25,0.07188485562801361,0.07436016947031021,0.0024753138422966003
26,0.07953590154647827,0.08200618624687195,0.0024702847003936768
27,0.08658872544765472,0.08986527472734451,0.003276549279689789
28,0.09476225823163986,0.09689563512802124,0.002133376896381378
29,0.10056570172309875,0.10533969104290009,0.004773989319801331
30,0.10881143808364868,0.11090046912431717,0.0020890310406684875
31,0.12312038987874985,0.11923667043447495,0.0038837194442749023
32,0.1300344616174698,0.13276340067386627,0.0027289390563964844
33,0.13723228871822357,0.13922736048698425,0.001995071768760681
34,0.14336378872394562,0.14625181257724762,0.002888023853302002
35,-0.18931624293327332,-0.18687474727630615,0.002441495656967163
36,-0.17545966804027557,-0.1789974868297577,0.0035378187894821167
37,-0.15260489284992218,-0.16530455648899078,0.012699663639068604
38,-0.1418093591928482,-0.14192238450050354,0.00011302530765533447
39,-0.13772588968276978,-0.1317179799079895,0.0060079097747802734
40,-0.13064196705818176,-0.12825842201709747,0.0023835450410842896
41,-0.11612895131111145,-0.12145046144723892,0.005321510136127472
42,-0.1099395751953125,-0.10724442452192307,0.002695150673389435
43,-0.10419734567403793,-0.10186036676168442,0.0023369789123535156
