Time Step,True rot_1,Predicted rot_1,Error
1,-0.86,-0.857616,-0.002384007
2,-0.86,-0.8590639,-0.00093609095
3,-0.86,-0.8601002,0.00010019541
4,-0.86,-0.8607472,0.0007472038
5,-0.85,-0.86116946,0.011169434
6,-0.85,-0.8515574,0.0015573502
7,-0.85,-0.8517805,0.0017804503
8,-0.85,-0.85179174,0.0017917156
9,-0.85,-0.85036117,0.00036114454
10,-0.85,-0.85172015,0.0017201304
11,-0.85,-0.8520839,0.0020838976
12,-0.85,-0.8528996,0.0028995872
13,-0.86,-0.8546628,-0.0053372383
14,-0.87,-0.8654706,-0.0045294166
15,-0.88,-0.8756473,-0.004352689
16,-0.88,-0.8857825,0.005782485
17,-0.9,-0.886062,-0.01393795
18,-0.9,-0.905862,0.0058619976
19,-0.91,-0.90542144,-0.0045785904
20,-0.91,-0.915837,0.0058369637
21,-0.92,-0.91549796,-0.004502058
22,-0.93,-0.92573524,-0.004264772
23,-0.93,-0.9358343,0.0058342814
24,-0.94,-0.9344927,-0.0055072904
25,-0.94,-0.9457948,0.005794823
26,-0.95,-0.94421536,-0.005784631
27,-0.95,-0.95400554,0.0040055513
28,-0.96,-0.9539721,-0.0060278773
29,-0.96,-0.9661395,0.006139517
30,-0.96,-0.9639492,0.003949225
31,-0.97,-0.96337163,-0.006628394
32,-0.97,-0.97312903,0.0031290054
33,-0.97,-0.97301036,0.0030103326
34,-0.98,-0.97356796,-0.0064320564
35,-0.98,-0.9826087,0.0026086569
36,-0.98,-0.98183215,0.0018321276
37,-0.98,-0.9809004,0.00090038776
38,-0.98,-0.98047227,0.0004722476
39,-0.98,-0.9814707,0.001470685
40,-0.98,-0.97980446,-0.00019556284
41,-0.98,-0.97985375,-0.0001462698
42,-0.98,-0.9799267,-7.331371e-05
43,-0.98,-0.9799894,-1.0609627e-05
44,-0.98,-0.9800514,5.1379204e-05
45,-0.98,-0.9800815,8.147955e-05
46,-0.98,-0.9820167,0.0020166636
47,-0.98,-0.9803324,0.0003323555
48,-0.98,-0.9820845,0.0020844936
49,-0.98,-0.98272735,0.0027273297
50,-0.98,-0.9829213,0.0029212832
51,-0.99,-0.98284864,-0.0071513653
52,-0.99,-0.99282575,0.002825737
53,-0.99,-0.99270505,0.0027050376
54,-0.99,-0.99253386,0.002533853
