Time Step,True rot_0,Predicted rot_0,Error
1,-0.01,-0.00971881,-0.00028118957
2,-0.01,-0.009491332,-0.0005086679
3,-0.01,-0.009743244,-0.0002567554
4,-0.01,-0.009804982,-0.00019501802
5,-0.01,-0.009805406,-0.00019459333
6,-0.01,-0.009677764,-0.00032223575
7,-0.01,-0.009475632,-0.00052436814
8,-0.01,-0.008800451,-0.0011995491
9,-0.01,-0.008941268,-0.0010587322
10,-0.01,-0.009121298,-0.0008787019
11,-0.01,-0.009423262,-0.00057673734
12,-0.01,-0.009603633,-0.00039636716
13,-0.01,-0.008955182,-0.0010448182
14,-0.01,-0.009504917,-0.0004950827
15,-0.01,-0.010097722,9.7721815e-05
16,-0.01,-0.010270572,0.0002705725
17,-0.01,-0.010211008,0.0002110079
18,-0.01,-0.011476531,0.0014765309
19,-0.01,-0.0110153025,0.0010153027
20,-0.01,-0.01133319,0.0013331901
21,-0.01,-0.011543732,0.0015437324
22,-0.01,-0.010522491,0.0005224915
23,-0.01,-0.012169839,0.002169839
24,-0.01,-0.010368879,0.00036887918
25,-0.01,-0.010869401,0.0008694008
26,-0.01,-0.01109577,0.0010957699
27,-0.01,-0.010895627,0.00089562684
28,-0.02,-0.010932062,-0.009067938
29,-0.02,-0.015398273,-0.0046017263
30,-0.02,-0.017392958,-0.002607042
31,-0.02,-0.018214444,-0.0017855559
32,-0.02,-0.018612243,-0.0013877563
33,-0.01,-0.018642778,0.008642778
34,-0.01,-0.015785499,0.005785499
35,-0.01,-0.013145818,0.0031458186
36,-0.01,-0.011915835,0.0019158348
37,-0.01,-0.011395292,0.0013952926
38,-0.02,-0.010947292,-0.009052708
39,-0.01,-0.015763942,0.0057639424
40,-0.01,-0.01262573,0.00262573
41,-0.01,-0.01208965,0.0020896504
42,-0.01,-0.011313072,0.0013130726
43,-0.01,-0.010914914,0.00091491453
44,-0.01,-0.010920277,0.0009202771
45,-0.02,-0.011003966,-0.008996033
46,-0.01,-0.015452216,0.0054522166
47,-0.02,-0.0125226425,-0.007477357
48,-0.02,-0.017216654,-0.002783345
49,-0.02,-0.01824246,-0.0017575398
50,-0.02,-0.019107567,-0.0008924324
51,-0.02,-0.019620655,-0.00037934445
52,-0.02,-0.019764168,-0.00023583136
53,-0.02,-0.019668734,-0.00033126585
54,-0.02,-0.019622264,-0.00037773512
55,-0.02,-0.019626157,-0.0003738422
56,-0.02,-0.019612914,-0.0003870856
57,-0.02,-0.019655824,-0.00034417585
58,-0.02,-0.019651625,-0.00034837425
59,-0.02,-0.019686986,-0.0003130138
60,-0.02,-0.019720951,-0.00027904846
61,-0.02,-0.019719271,-0.00028072856
62,-0.02,-0.019791575,-0.0002084244
63,-0.02,-0.01986184,-0.00013815984
64,-0.02,-0.019854994,-0.00014500506
65,-0.02,-0.019925728,-7.427111e-05
66,-0.02,-0.019993749,-6.251037e-06
67,-0.02,-0.02002793,2.7930364e-05
68,-0.02,-0.020069966,6.996654e-05
69,-0.02,-0.019213947,-0.000786053
70,-0.02,-0.019736137,-0.0002638623
71,-0.02,-0.020149533,0.00014953315
72,-0.02,-0.019718992,-0.00028100796
73,-0.02,-0.019488914,-0.0005110856
74,-0.02,-0.019381506,-0.0006184932
75,-0.02,-0.019450951,-0.0005490482
76,-0.02,-0.019495957,-0.00050404295
77,-0.02,-0.019576613,-0.0004233867
78,-0.02,-0.019585704,-0.00041429512
79,-0.02,-0.019413052,-0.0005869474
80,-0.02,-0.0194381,-0.00056190044
81,-0.02,-0.019401602,-0.0005983971
82,-0.02,-0.019354124,-0.00064587593
83,-0.02,-0.019301279,-0.00069872104
84,-0.02,-0.019300614,-0.000699386
85,-0.02,-0.019097066,-0.000902934
86,-0.02,-0.019127311,-0.00087268837
87,-0.02,-0.019053437,-0.00094656274
88,-0.02,-0.01907608,-0.0009239204
89,-0.02,-0.019331545,-0.0006684549
90,-0.02,-0.019301658,-0.00069834106
91,-0.02,-0.01931491,-0.0006850902
92,-0.02,-0.019698245,-0.0003017541
93,-0.02,-0.020337943,0.00033794343
94,-0.02,-0.020589223,0.0005892236
95,-0.02,-0.019743644,-0.00025635585
96,-0.02,-0.019576704,-0.00042329542
97,-0.02,-0.019170837,-0.0008291621
98,-0.02,-0.01952498,-0.00047501922
99,-0.02,-0.018773077,-0.0012269225
100,-0.02,-0.018987237,-0.001012763
101,-0.01,-0.018999852,0.008999852
102,-0.01,-0.0160922,0.0060922
103,-0.02,-0.013081027,-0.0069189724
104,-0.02,-0.015019234,-0.0049807653
105,-0.01,-0.016720712,0.0067207124
106,-0.02,-0.014971629,-0.005028371
107,-0.02,-0.015982052,-0.0040179472
108,-0.02,-0.017304458,-0.0026955418
109,-0.01,-0.01771447,0.007714471
110,-0.01,-0.015544096,0.005544096
111,-0.02,-0.012902314,-0.0070976857
112,-0.02,-0.01516038,-0.0048396196
113,-0.02,-0.016977515,-0.0030224845
114,-0.01,-0.016626693,0.0066266935
115,-0.02,-0.015778232,-0.004221767
116,-0.01,-0.016287643,0.0062876437
117,-0.01,-0.014113121,0.004113121
118,-0.01,-0.011152703,0.0011527035
119,-0.01,-0.0111951195,0.0011951197
120,-0.01,-0.01069625,0.00069625024
121,-0.02,-0.0100133745,-0.009986625
122,-0.02,-0.012692376,-0.0073076235
123,-0.02,-0.014134329,-0.0058656707
124,-0.02,-0.017635655,-0.002364345
125,-0.02,-0.01816279,-0.0018372089
