Time Step,True pos_z,Predicted pos_z,Error
1,0.17,0.17813854,-0.008138537
2,0.15,0.13718046,0.0128195435
3,0.12,0.115054935,0.004945062
4,0.09,0.08209437,0.007905632
5,0.07,0.054531943,0.015468057
6,0.04,0.0373262,0.0026737973
7,0.01,0.0077755824,0.0022244174
8,-0.01,-0.024752518,0.014752518
9,-0.05,-0.04951454,-0.0004854612
10,-0.11,-0.08734645,-0.02265355
11,-0.17,-0.14408964,-0.025910363
12,-0.2,-0.20412332,0.004123315
13,-0.23,-0.23342106,0.0034210533
14,-0.26,-0.2622542,0.0022542179
15,-0.28,-0.29114646,0.011146456
16,-0.34,-0.3099293,-0.030070692
17,-0.37,-0.3685067,-0.001493305
18,-0.4,-0.398108,-0.0018920004
19,-0.42,-0.4283056,0.008305609
20,-0.45,-0.44875687,-0.0012431145
21,-0.48,-0.47948298,-0.0005170107
22,-0.51,-0.5094505,-0.0005494952
23,-0.54,-0.5397565,-0.00024354458
24,-0.58,-0.56979144,-0.010208547
25,-0.6,-0.60975844,0.009758413
26,-0.62,-0.6296319,0.009631872
27,-0.64,-0.6495058,0.009505808
28,-0.67,-0.6698781,-0.0001218915
29,-0.69,-0.6990477,0.009047687
30,-0.71,-0.71830475,0.008304775
31,-0.73,-0.73769736,0.007697344
32,-0.77,-0.75728303,-0.012716949
33,-0.79,-0.7965824,0.0065823793
34,-0.81,-0.8161609,0.006160915
35,-0.83,-0.8355301,0.005530119
36,-0.85,-0.85421467,0.0042146444
37,-0.87,-0.8732353,0.0032352805
38,-0.89,-0.8933853,0.0033853054
39,-0.91,-0.91241384,0.0024138093
40,-0.94,-0.93220675,-0.0077932477
41,-0.96,-0.96223915,0.0022391677
42,-0.98,-0.982321,0.0023210049
43,-1.01,-1.0022827,-0.007717252
44,-1.03,-1.0321788,0.0021787882
45,-1.06,-1.0528777,-0.007122278
46,-1.08,-1.0820559,0.0020558834
47,-1.1,-1.1028708,0.002870798
48,-1.12,-1.1235604,0.0035604239
49,-1.15,-1.1438575,-0.006142497
50,-1.18,-1.1736737,-0.0063261986
51,-1.21,-1.2033387,-0.006661296
52,-1.23,-1.2330364,0.0030363798
53,-1.25,-1.2526838,0.0026837587
54,-1.27,-1.2722019,0.0022019148
55,-1.29,-1.2916952,0.0016952753
56,-1.31,-1.3111949,0.0011949539
57,-1.33,-1.3309422,0.000942111
58,-1.35,-1.3508916,0.0008915663
59,-1.37,-1.3704973,0.00049734116
60,-1.39,-1.389899,-0.00010097027
61,-1.41,-1.4087362,-0.0012637377
62,-1.42,-1.427107,0.0071070194
63,-1.43,-1.4354142,0.0054142475
64,-1.45,-1.444013,-0.005987048
65,-1.46,-1.4629142,0.0029141903
66,-1.48,-1.4720666,-0.007933378
67,-1.5,-1.4912808,-0.008719206
68,-1.52,-1.5100019,-0.009998083
69,-1.52,-1.5291415,0.009141564
70,-1.53,-1.5273592,-0.0026407242
71,-1.54,-1.5359439,-0.004056096
72,-1.54,-1.5450346,0.005034685
73,-1.55,-1.544646,-0.0053539276
74,-1.55,-1.5546192,0.0046192408
75,-1.56,-1.5546782,-0.005321741
76,-1.56,-1.5643327,0.004332781
77,-1.56,-1.5635335,0.0035336018
78,-1.57,-1.5627948,-0.007205248
79,-1.57,-1.5722373,0.0022372007
80,-1.57,-1.5718173,0.0018172264
81,-1.57,-1.5714885,0.0014884472
82,-1.58,-1.5711777,-0.008822322
83,-1.58,-1.5809203,0.0009202957
84,-1.58,-1.5807986,0.00079858303
85,-1.58,-1.5804535,0.00045347214
86,-1.58,-1.5800439,4.386902e-05
87,-1.57,-1.5792077,0.009207606
