Time Step,True rot_2,Predicted rot_2,Error
1,-0.0,-0.0006534519,0.0006534519
2,0.0,-7.047808e-05,7.047808e-05
3,-0.0,0.00014598478,-0.00014598478
4,-0.0,0.00016788779,-0.00016788779
5,-0.0,0.00019056711,-0.00019056711
6,-0.0,0.0006805091,-0.0006805091
7,-0.0,0.00022466658,-0.00022466658
8,-0.0,-0.0010367173,0.0010367173
9,-0.0,0.0005675406,-0.0005675406
10,-0.0,-7.872539e-05,7.872539e-05
11,-0.0,0.00045531246,-0.00045531246
12,-0.0,5.289279e-05,-5.289279e-05
13,-0.0,-0.00040797784,0.00040797784
14,-0.0,-0.00046618513,0.00046618513
15,-0.0,-0.00065328705,0.00065328705
16,-0.01,-0.0006576405,-0.009342359
17,-0.01,-0.008611246,-0.0013887538
18,-0.01,-0.008722748,-0.0012772521
19,-0.01,-0.008848833,-0.0011511669
20,-0.0,-0.0089071505,0.0089071505
21,-0.01,-0.0009455186,-0.009054481
22,-0.0,-0.00878405,0.00878405
23,-0.0,-0.0007348115,0.0007348115
24,-0.0,-0.0005541627,0.0005541627
25,-0.0,-0.00041177706,0.00041177706
26,-0.0,-0.00032585437,0.00032585437
27,-0.0,-0.0002885959,0.0002885959
28,-0.0,-0.001459045,0.001459045
29,-0.0,-0.0006809911,0.0006809911
30,-0.0,-0.00033583035,0.00033583035
31,-0.0,-0.00022979689,0.00022979689
32,-0.0,-0.00026325247,0.00026325247
33,-0.0,0.0009109522,-0.0009109522
34,-0.0,0.0004692726,-0.0004692726
35,-0.0,0.00033451,-0.00033451
36,0.0,0.00024228035,-0.00024228035
37,0.0,-8.255704e-05,8.255704e-05
38,-0.0,-0.0015034614,0.0015034614
39,-0.0,0.0002201752,-0.0002201752
40,-0.0,0.00011295932,-0.00011295932
41,-0.0,0.00011452577,-0.00011452577
42,-0.0,8.69941e-05,-8.69941e-05
43,-0.0,9.6030315e-05,-9.6030315e-05
44,-0.0,4.7679776e-05,-4.7679776e-05
45,-0.01,-0.0012661905,-0.008733809
46,-0.01,-0.007865579,-0.002134421
47,-0.01,-0.009449683,-0.00055031665
48,-0.01,-0.00881793,-0.00118207
49,-0.01,-0.008346977,-0.0016530231
50,-0.01,-0.008297325,-0.0017026747
51,-0.01,-0.008618795,-0.0013812045
