Time Step,True pos_x,Predicted pos_x,Error
142,-0.76,-0.76194316,0.001943171
143,-0.77,-0.7613297,-0.00867027
144,-0.76,-0.7705182,0.010518193
145,-0.76,-0.7596573,-0.0003426671
146,-0.76,-0.75879747,-0.0012025237
147,-0.76,-0.7580456,-0.0019543767
148,-0.75,-0.75752234,0.0075223446
149,-0.75,-0.7471728,-0.002827227
150,-0.75,-0.7456282,-0.004371822
151,-0.74,-0.7409537,0.0009536743
152,-0.73,-0.72556853,-0.004431486
153,-0.72,-0.71554786,-0.004452169
154,-0.71,-0.70672774,-0.0032722354
155,-0.69,-0.6975814,0.007581413
156,-0.68,-0.678979,-0.0010210276
157,-0.67,-0.67043865,0.00043863058
158,-0.67,-0.66282874,-0.007171273
159,-0.66,-0.6658478,0.005847752
160,-0.66,-0.65879,-0.0012100339
161,-0.66,-0.6604867,0.00048667192
162,-0.66,-0.6644325,0.0044324994
163,-0.67,-0.66906655,-0.00093346834
164,-0.67,-0.6814569,0.011456907
165,-0.68,-0.6817049,0.0017048717
166,-0.69,-0.69133234,0.0013323426
167,-0.7,-0.70222783,0.0022278428
168,-0.7,-0.71396464,0.013964653
169,-0.71,-0.71459347,0.0045934916
170,-0.72,-0.7239499,0.0039498806
171,-0.73,-0.73309565,0.0030956268
172,-0.74,-0.74137497,0.00137496
173,-0.75,-0.7490776,-0.0009223819
174,-0.75,-0.7570402,0.0070402026
175,-0.76,-0.75523764,-0.0047623515
176,-0.76,-0.7617622,0.0017622113
177,-0.76,-0.75741565,-0.0025843382
178,-0.76,-0.7554167,-0.004583299
179,-0.75,-0.75378466,0.0037846565
180,-0.75,-0.74376154,-0.0062384605
181,-0.75,-0.7426317,-0.007368326
182,-0.74,-0.7419234,0.0019233823
183,-0.74,-0.7316249,-0.008375108
184,-0.73,-0.73149437,0.001494348
185,-0.73,-0.7212683,-0.008731723
186,-0.73,-0.72096103,-0.009038985
187,-0.72,-0.72071457,0.0007145405
188,-0.72,-0.710763,-0.009237051
189,-0.72,-0.711138,-0.008862019
190,-0.71,-0.71173644,0.0017364621
191,-0.71,-0.70241326,-0.0075867176
192,-0.71,-0.70310396,-0.006896019
193,-0.7,-0.70384926,0.003849268
194,-0.7,-0.69485885,-0.005141139
195,-0.69,-0.6964201,0.006420076
196,-0.69,-0.686573,-0.003426969
