Time Step,True pos_y,Predicted pos_y,Error
152,0.19,0.19000635,-6.3478947e-06
153,0.19,0.19025496,-0.00025495887
154,0.19,0.1903094,-0.0003094077
155,0.19,0.19030124,-0.00030124187
156,0.19,0.19017138,-0.00017137825
157,0.19,0.18990834,9.165704e-05
158,0.19,0.1897969,0.00020310283
159,0.19,0.18962137,0.0003786236
160,0.19,0.18948655,0.0005134493
161,0.19,0.18959935,0.00040064752
162,0.19,0.18973053,0.0002694726
163,0.19,0.1897804,0.00021959841
164,0.19,0.18969165,0.00030834973
165,0.19,0.18953474,0.00046525896
166,0.19,0.18950294,0.00049705803
167,0.19,0.18963513,0.00036486983
168,0.19,0.18978825,0.0002117455
169,0.19,0.18982075,0.00017924607
170,0.19,0.18976854,0.00023145974
171,0.19,0.18973434,0.0002656579
172,0.19,0.1897543,0.00024569035
173,0.19,0.18986548,0.00013451278
174,0.19,0.18997847,2.1532178e-05
175,0.19,0.19004455,-4.4554472e-05
176,0.19,0.18996938,3.0621886e-05
177,0.19,0.18988077,0.00011922419
178,0.19,0.18990299,9.700656e-05
179,0.19,0.18997362,2.6375055e-05
180,0.19,0.19009845,-9.845197e-05
181,0.19,0.19008513,-8.5130334e-05
182,0.19,0.19006395,-6.3955784e-05
183,0.19,0.19004996,-4.9963593e-05
184,0.19,0.19004026,-4.0262938e-05
185,0.19,0.19001155,-1.15484e-05
186,0.19,0.18996584,3.415346e-05
187,0.19,0.18991429,8.571148e-05
188,0.19,0.18988071,0.000119283795
189,0.19,0.18987852,0.000121474266
190,0.19,0.18989559,0.00010441244
191,0.19,0.18991576,8.4236264e-05
192,0.19,0.18993601,6.3985586e-05
193,0.19,0.18994507,5.492568e-05
194,0.19,0.18997107,2.8923154e-05
195,0.19,0.19001466,-1.4662743e-05
196,0.19,0.19000189,-1.8924475e-06
197,0.19,0.18995787,4.2125583e-05
198,0.19,0.190022,-2.2009015e-05
199,0.19,0.18995918,4.081428e-05
200,0.19,0.1899098,9.019673e-05
201,0.19,0.18996601,3.398955e-05
202,0.19,0.18998782,1.2174249e-05
203,0.19,0.18996775,3.2246113e-05
204,0.19,0.18992454,7.545948e-05
205,0.19,0.18987939,0.00012061
206,0.19,0.18986282,0.00013718009
207,0.19,0.18987286,0.00012713671
208,0.19,0.1898799,0.00012010336
209,0.19,0.18988425,0.00011575222
210,0.19,0.18988511,0.00011488795
211,0.19,0.18987383,0.00012616813
212,0.19,0.18989407,0.000105932355
213,0.19,0.18991756,8.2433224e-05
214,0.19,0.1899524,4.759431e-05
215,0.19,0.18997666,2.3335218e-05
216,0.19,0.18998763,1.2367964e-05
217,0.19,0.1899964,3.5911798e-06
218,0.19,0.1900063,-6.303191e-06
219,0.19,0.1900139,-1.3902783e-05
220,0.19,0.19002269,-2.2694468e-05
221,0.19,0.19003358,-3.3587217e-05
222,0.19,0.19005683,-5.683303e-05
223,0.19,0.19011077,-0.00011077523
224,0.19,0.19010654,-0.0001065433
225,0.19,0.19010124,-0.00010123849
226,0.19,0.1901029,-0.00010290742
227,0.19,0.19015624,-0.00015623868
228,0.19,0.19010037,-0.00010037422
229,0.19,0.18991826,8.173287e-05
230,0.19,0.1893657,0.0006342977
231,0.19,0.1884811,0.0015188903
232,0.19,0.18781875,0.0021812469
233,0.19,0.18686771,0.0031322837
234,0.19,0.18467107,0.0053289235
235,0.19,0.18260732,0.0073926747
236,0.19,0.18174043,0.008259565
237,0.19,0.18199164,0.008008361
238,0.18,0.18242218,-0.0024221689
239,0.18,0.17959528,0.00040473044
240,0.18,0.17995821,4.1797757e-05
241,0.18,0.18037632,-0.00037631392
242,0.18,0.18057773,-0.000577718
243,0.18,0.18053955,-0.00053954124
244,0.18,0.18053877,-0.0005387664
245,0.18,0.18062462,-0.000624612
246,0.18,0.18217944,-0.002179429
247,0.18,0.19013011,-0.010130107
248,0.18,0.18984216,-0.009842157
249,0.19,0.18863548,0.0013645142
250,0.19,0.18561466,0.0043853372
251,0.19,0.19080508,-0.00080507994
252,0.19,0.1903524,-0.00035239756
253,0.19,0.18997595,2.4050474e-05
254,0.19,0.19008563,-8.563697e-05
255,0.19,0.19026485,-0.00026485324
256,0.19,0.19014603,-0.00014603138
257,0.19,0.19002186,-2.1860003e-05
258,0.19,0.1901488,-0.000148803
259,0.19,0.19020289,-0.00020289421
260,0.19,0.19022454,-0.0002245456
261,0.19,0.1902035,-0.00020350516
262,0.19,0.19014128,-0.00014127791
263,0.19,0.19007318,-7.31796e-05
264,0.19,0.19002244,-2.2441149e-05
265,0.19,0.18999445,5.543232e-06
266,0.19,0.18998408,1.591444e-05
267,0.19,0.18997648,2.3514032e-05
268,0.19,0.18997407,2.592802e-05
269,0.19,0.18996356,3.643334e-05
270,0.19,0.1899561,4.389882e-05
271,0.19,0.18990822,9.177625e-05
272,0.19,0.18992673,7.326901e-05
273,0.19,0.18994549,5.4508448e-05
274,0.19,0.1899785,2.1502376e-05
275,0.19,0.18999073,9.268522e-06
276,0.19,0.18999586,4.142523e-06
277,0.19,0.1899968,3.2037497e-06
278,0.19,0.1899972,2.8014183e-06
279,0.19,0.1899997,2.9802322e-07
280,0.19,0.19000413,-4.1276217e-06
281,0.19,0.19000755,-7.5548887e-06
282,0.19,0.19000989,-9.894371e-06
283,0.19,0.18999533,4.6640635e-06
284,0.19,0.1899858,1.4200807e-05
285,0.19,0.18998787,1.2129545e-05
286,0.19,0.1899967,3.2931566e-06
287,0.19,0.1900154,-1.54078e-05
288,0.19,0.1900352,-3.5196543e-05
289,0.19,0.19004835,-4.8354268e-05
290,0.19,0.19005556,-5.556643e-05
291,0.19,0.19006254,-6.254017e-05
292,0.19,0.19007538,-7.5384974e-05
293,0.19,0.1900954,-9.5397234e-05
294,0.19,0.19011946,-0.00011946261
295,0.19,0.19014359,-0.00014358759
296,0.19,0.1901657,-0.00016570091
297,0.19,0.19019057,-0.00019057095
298,0.19,0.19021074,-0.00021074712
299,0.19,0.19021909,-0.00021909177
300,0.19,0.1902203,-0.00022029877
301,0.19,0.19020376,-0.00020375848
302,0.19,0.19017254,-0.00017254055
303,0.19,0.1900798,-7.979572e-05
304,0.19,0.18995386,4.6133995e-05
305,0.18,0.18954593,-0.009545922
306,0.18,0.18076253,-0.0007625222
307,0.18,0.17998223,1.7777085e-05
308,0.18,0.17995872,4.1291118e-05
309,0.18,0.17999397,6.0349703e-06
310,0.18,0.17996003,3.9979815e-05
311,0.18,0.179958,4.2006373e-05
