Time Step,True rot_3,Predicted rot_3,Error
1,-0.52,-0.51268613,-0.0073138475
2,-0.52,-0.52071846,0.0007184744
3,-0.52,-0.5201526,0.0001526475
4,-0.52,-0.5210431,0.0010431409
5,-0.52,-0.52124095,0.0012409687
6,-0.52,-0.5208487,0.00084871054
7,-0.52,-0.51941687,-0.00058311224
8,-0.52,-0.5187495,-0.0012505054
9,-0.52,-0.52002424,2.425909e-05
10,-0.53,-0.51993245,-0.0100675225
11,-0.52,-0.52646613,0.0064661503
12,-0.51,-0.5130333,0.0030332804
13,-0.5,-0.4989044,-0.001095593
14,-0.48,-0.48549464,0.005494654
15,-0.47,-0.4643911,-0.0056088865
16,-0.44,-0.45532492,0.01532492
17,-0.43,-0.42690426,-0.003095746
18,-0.42,-0.41788638,-0.0021136105
19,-0.4,-0.408158,0.008157998
20,-0.39,-0.38799065,-0.0020093322
21,-0.38,-0.37755597,-0.0024440289
22,-0.36,-0.36734664,0.00734663
23,-0.35,-0.34701204,-0.002987951
24,-0.33,-0.33688527,0.0068852603
25,-0.32,-0.31697163,-0.003028363
26,-0.31,-0.3071118,-0.0028882027
27,-0.3,-0.29713035,-0.0028696656
28,-0.28,-0.28765517,0.0076551735
29,-0.27,-0.2669071,-0.0030929148
30,-0.26,-0.2562731,-0.0037268996
31,-0.25,-0.24578759,-0.0042124093
32,-0.23,-0.23556504,0.0055650324
33,-0.22,-0.21560304,-0.00439696
34,-0.21,-0.2076328,-0.0023671985
35,-0.2,-0.20141228,0.0014122725
36,-0.2,-0.19523919,-0.0047608167
37,-0.2,-0.1981465,-0.0018534958
38,-0.2,-0.20032477,0.0003247708
39,-0.2,-0.19936019,-0.00063981116
40,-0.2,-0.19889005,-0.0011099577
41,-0.2,-0.1984792,-0.0015207976
42,-0.2,-0.19837394,-0.0016260594
43,-0.2,-0.19839518,-0.0016048253
44,-0.2,-0.19847012,-0.0015298873
45,-0.2,-0.19891137,-0.0010886341
46,-0.2,-0.19693518,-0.0030648261
47,-0.2,-0.19522434,-0.0047756582
48,-0.19,-0.19206415,0.0020641536
49,-0.18,-0.17947263,-0.0005273819
50,-0.17,-0.16824503,-0.0017549694
