Time Step,True pos_y,Predicted pos_y,Error
1,0.18692549,0.18644063,0.00048485398
2,0.18684979,0.18660016,0.00024962425
3,0.18690634,0.18653223,0.00037410855
4,0.18683001,0.18659382,0.0002361983
5,0.18713626,0.18651898,0.0006172806
6,0.18722916,0.18684454,0.00038461387
7,0.18722178,0.18696445,0.00025732815
8,0.18721132,0.18697461,0.00023670495
9,0.18766405,0.18698908,0.000674963
10,0.1873915,0.18742515,-3.3646822e-05
11,0.18771411,0.18714301,0.0005711019
12,0.18758166,0.18746078,0.00012087822
13,0.18795612,0.18732764,0.0006284863
14,0.18760616,0.18769608,-8.992851e-05
15,0.18805897,0.18735519,0.00070378184
16,0.18815705,0.18781404,0.00034300983
17,0.1883681,0.18790528,0.00046281517
18,0.18868148,0.18808511,0.0005963743
19,0.18829158,0.1883824,-9.082258e-05
20,0.18876101,0.18800342,0.00075758994
21,0.18866386,0.18849042,0.00017343462
22,0.18861075,0.18841483,0.00019592047
23,0.18896358,0.18842332,0.0005402565
24,0.18895969,0.18875764,0.00020204484
25,0.18894519,0.18878742,0.0001577735
26,0.18934797,0.18876691,0.0005810559
27,0.18893284,0.18916562,-0.00023278594
28,0.18927446,0.18876094,0.0005135238
29,0.18960954,0.18914655,0.00046299398
30,0.18953711,0.18948641,5.069375e-05
31,0.18948555,0.18943334,5.221367e-05
32,0.18973067,0.18937723,0.00035344064
33,0.18969287,0.18959293,9.994209e-05
34,0.18960035,0.18948273,0.000117614865
35,0.18966278,0.18926711,0.00039567053
36,0.18957815,0.18892103,0.0006571114
37,0.18966576,0.18868974,0.00097602606
38,0.19112435,0.19062237,0.0005019754
39,0.19112977,0.18987416,0.0012556165
40,0.1911123,0.19108275,2.9549003e-05
41,0.19120535,0.19119029,1.5065074e-05
42,0.19130589,0.19125079,5.5104494e-05
43,0.19135328,0.19131325,4.002452e-05
44,0.19141611,0.19129914,0.000116974115
45,0.19154692,0.19133292,0.00021399558
46,0.19155543,0.1914453,0.00011011958
47,0.19163983,0.19144191,0.00019791722
48,0.19160572,0.19150795,9.776652e-05
49,0.19171974,0.19148163,0.00023810565
50,0.19192746,0.19159901,0.0003284514
51,0.1920757,0.19179802,0.00027768314
52,0.19201279,0.19194263,7.015467e-05
53,0.19202353,0.19187105,0.00015248358
54,0.19220352,0.1918535,0.00035002828
55,0.19204982,0.19201761,3.220141e-05
