Time Step,True rot_3,Predicted rot_3,Error
1,0.99982136,0.99841404,0.0014073253
2,0.9998172,0.9981041,0.0017130971
3,0.999848,0.9963035,0.0035445094
4,0.9998758,0.97619325,0.023682535
5,0.99988735,0.98931146,0.010575891
6,0.9999049,1.0067621,-0.006857276
7,0.99990535,1.0020938,-0.0021884441
8,0.99991,0.9995955,0.0003144741
9,0.9999156,0.9984528,0.0014628172
10,0.9999186,0.9979441,0.0019744635
11,0.99993503,0.9976183,0.0023167133
12,0.99993265,0.99866486,0.0012677908
13,0.9999349,0.9999633,-2.8371811e-05
14,0.9999436,1.000192,-0.00024843216
15,0.9999548,0.99986947,8.535385e-05
16,0.9999583,0.99945474,0.00050354004
17,0.9999598,0.9989845,0.0009753108
18,0.9999627,0.99855936,0.0014033318
19,0.9999708,0.99856776,0.0014030337
20,0.9999759,0.9989307,0.001045227
21,0.99998426,0.99941623,0.00056803226
22,0.99998903,0.99994147,4.7564507e-05
23,0.99998844,1.0003817,-0.00039327145
24,0.99999285,1.0007287,-0.00073587894
25,0.9999844,1.0011477,-0.0011633635
26,0.9999807,1.0013647,-0.0013840199
27,0.999972,1.0015216,-0.0015496016
28,0.99996865,1.001702,-0.0017333031
29,0.99995995,1.0018481,-0.0018881559
30,0.9999567,1.0019133,-0.001956582
31,0.999949,1.0018904,-0.0019414425
32,0.9999225,1.0018429,-0.0019203424
33,0.999892,1.0015439,-0.0016518831
34,0.9998709,1.0011246,-0.0012537241
35,0.99985933,1.0008124,-0.00095307827
36,0.99985206,1.0005269,-0.0006748438
37,0.9998312,1.000319,-0.0004878044
38,0.9998221,0.99999607,-0.00017398596
39,0.99976987,0.99967265,9.7215176e-05
40,0.9997358,0.9991428,0.000592947
41,0.99971527,0.9985954,0.0011198521
42,0.9996872,0.99793404,0.0017531514
43,0.9996469,0.99720013,0.0024467707
44,0.9996556,0.9964067,0.00324893
45,0.99961203,0.99576426,0.0038477778
46,0.9995783,0.9950309,0.004547417
47,0.99954224,0.9942767,0.005265534
48,0.9994997,0.99349403,0.006005645
