Time Step,True pos_y,Predicted pos_y,Error
144,0.1867095,0.18687925,-0.00016975403
145,0.18681757,0.18664308,0.0001744926
146,0.18640184,0.18678215,-0.00038030744
147,0.18660608,0.18639952,0.0002065599
148,0.18637756,0.18663062,-0.00025306642
149,0.18617162,0.18642847,-0.00025685132
150,0.1861542,0.18625218,-9.7975135e-05
151,0.18613546,0.18627462,-0.00013916194
152,0.18598434,0.1864191,-0.00043475628
153,0.18608037,0.1874153,-0.0013349354
154,0.18417382,0.18006326,0.00411056
155,0.18417811,0.18384515,0.00033296645
156,0.18418702,0.18408388,0.00010314584
157,0.18429203,0.18404543,0.00024659932
158,0.18430832,0.18429776,1.0564923e-05
159,0.18440269,0.18440568,-2.9951334e-06
160,0.18439274,0.18481219,-0.0004194528
161,0.18438447,0.18484573,-0.00046126544
162,0.18441175,0.18454592,-0.00013417006
163,0.18449725,0.18443944,5.7816505e-05
164,0.18457979,0.18454227,3.7521124e-05
165,0.18461579,0.1846625,-4.671514e-05
166,0.18459284,0.18473442,-0.00014157593
167,0.18439987,0.18473718,-0.00033730268
168,0.18468979,0.18456754,0.00012224913
169,0.18457541,0.18487325,-0.0002978444
170,0.18454935,0.18478492,-0.00023557246
171,0.18460917,0.18478037,-0.00017119944
172,0.18463778,0.18486014,-0.00022235513
173,0.18431793,0.18490598,-0.0005880445
174,0.18444966,0.1846066,-0.00015693903
175,0.18504922,0.18474866,0.00030055642
176,0.18496802,0.18535511,-0.00038708746
177,0.1850039,0.18528745,-0.0002835393
178,0.18503211,0.18532652,-0.00029440224
179,0.18524687,0.18536359,-0.000116720796
180,0.18516217,0.18557458,-0.00041240454
181,0.18500863,0.18549354,-0.0004849136
182,0.18507685,0.18533114,-0.00025428832
183,0.18520053,0.18539873,-0.00019820035
184,0.18525402,0.18550776,-0.00025373697
185,0.18545756,0.18555333,-9.576976e-05
186,0.18532382,0.1857437,-0.00041988492
187,0.1856517,0.18560047,5.1230192e-05
188,0.18548541,0.18590833,-0.00042292476
189,0.18526226,0.18573369,-0.00047142804
190,0.18537322,0.18549135,-0.000118136406
191,0.18550986,0.1855832,-7.3343515e-05
192,0.18536437,0.18569668,-0.0003323108
193,0.18529865,0.1855318,-0.00023314357
194,0.18535124,0.18544798,-9.673834e-05
195,0.18555881,0.18548249,7.632375e-05
196,0.1855066,0.1856686,-0.00016200542
197,0.18548803,0.18560924,-0.000121206045
198,0.18578902,0.1855792,0.00020982325
199,0.18583685,0.18587987,-4.3019652e-05
200,0.18567568,0.18593006,-0.00025437772
201,0.18559667,0.18579148,-0.00019480288
202,0.18578751,0.18574542,4.209578e-05
203,0.18566513,0.1860533,-0.00038817525
204,0.18579139,0.18644278,-0.00065138936
205,0.18579213,0.18624781,-0.0004556775
206,0.18573241,0.18592477,-0.00019235909
207,0.18577293,0.1857247,4.8220158e-05
208,0.18582904,0.18581317,1.5869737e-05
209,0.185986,0.18592009,6.5907836e-05
210,0.18615398,0.18609414,5.9843063e-05
211,0.18617691,0.18620917,-3.2261014e-05
212,0.1862169,0.18620248,1.4424324e-05
213,0.1862889,0.18624982,3.9070845e-05
214,0.18639779,0.18633775,6.003678e-05
215,0.1862067,0.18646301,-0.00025631487
216,0.1861765,0.18629637,-0.00011987984
217,0.18638209,0.18628135,0.00010073185
218,0.18644579,0.18649788,-5.209446e-05
219,0.18652847,0.1865778,-4.9322844e-05
220,0.18662316,0.18666792,-4.476309e-05
221,0.1866113,0.18677302,-0.0001617223
222,0.18686129,0.18677096,9.033084e-05
223,0.18714963,0.18702734,0.00012229383
224,0.18712662,0.18732359,-0.00019696355
225,0.18700859,0.18730682,-0.00029823184
226,0.18713886,0.18719599,-5.7131052e-05
227,0.18721421,0.18731968,-0.00010547042
228,0.18738693,0.18740138,-1.4454126e-05
229,0.18734175,0.18756802,-0.00022627413
230,0.18767431,0.18752937,0.0001449436
231,0.18765394,0.18785155,-0.0001976043
232,0.18816683,0.18783197,0.0003348589
233,0.18805076,0.18834022,-0.00028945506
234,0.18787563,0.18822171,-0.00034607947
235,0.18801467,0.18804097,-2.630055e-05
236,0.1878384,0.18816839,-0.00032998621
237,0.18809062,0.18799222,9.840727e-05
238,0.18819581,0.18822685,-3.103912e-05
239,0.18808435,0.18832768,-0.00024333596
240,0.1882597,0.18821064,4.9069524e-05
241,0.18781228,0.18837814,-0.0005658567
242,0.18824765,0.1879302,0.00031745434
243,0.18791102,0.18835077,-0.00043974817
244,0.1878155,0.18801822,-0.0002027154
245,0.18797383,0.18792105,5.2779913e-05
246,0.18798265,0.18807371,-9.1060996e-05
247,0.18795522,0.1880833,-0.00012809038
248,0.18808004,0.18805735,2.2694468e-05
249,0.18820344,0.18818499,1.8447638e-05
250,0.18837894,0.1883202,5.8740377e-05
251,0.1884326,0.18852629,-9.36836e-05
252,0.18842201,0.18867517,-0.00025315583
253,0.18831699,0.18899143,-0.00067444146
254,0.1905414,0.19933602,-0.008794621
255,0.19053929,0.19160251,-0.0010632277
256,0.19055064,0.19049545,5.51939e-05
257,0.1905633,0.19059296,-2.965331e-05
258,0.19063506,0.19046722,0.00016783178
259,0.1907348,0.19063754,9.725988e-05
260,0.19082922,0.19078612,4.3094158e-05
261,0.19094568,0.19094235,3.33786e-06
262,0.19093907,0.19108327,-0.00014419854
263,0.19096552,0.19108543,-0.000119909644
264,0.19097151,0.19110677,-0.00013525784
265,0.19115202,0.19111185,4.017353e-05
266,0.19123636,0.19129369,-5.7324767e-05
267,0.19125594,0.19137977,-0.00012382865
268,0.19125251,0.19140017,-0.0001476556
269,0.19124715,0.19139743,-0.00015027821
270,0.19147292,0.19139296,7.995963e-05
271,0.19142838,0.19161995,-0.00019156933
272,0.19160509,0.19157991,2.5182962e-05
273,0.19166113,0.19176517,-0.00010403991
274,0.19140138,0.19183055,-0.00042916834
275,0.1916162,0.19157945,3.6761165e-05
276,0.19176021,0.19180095,-4.0739775e-05
277,0.19173631,0.1919506,-0.0002142936
278,0.19165815,0.19192894,-0.0002707839
279,0.19191788,0.19185343,6.444752e-05
280,0.19154945,0.19211234,-0.00056289136
281,0.191354,0.19174033,-0.0003863275
282,0.19134703,0.19153817,-0.0001911372
283,0.19101356,0.19152154,-0.0005079806
284,0.19110645,0.19117564,-6.918609e-05
285,0.19131187,0.19125552,5.634129e-05
286,0.19109893,0.19144481,-0.00034588575
287,0.19092773,0.19121446,-0.00028672814
288,0.1907314,0.1910264,-0.0002949983
289,0.19065346,0.19081174,-0.00015828013
290,0.19088852,0.19072014,0.00016838312
291,0.19065233,0.19094296,-0.00029063225
292,0.1905611,0.19069625,-0.00013515353
293,0.19039993,0.19059452,-0.00019459426
294,0.1901296,0.1904239,-0.00029431283
295,0.19030096,0.19014677,0.00015418231
296,0.18999927,0.19031265,-0.00031338632
297,0.19057113,0.19000675,0.0005643815
298,0.19053243,0.19057672,-4.428625e-05
299,0.19003814,0.19053827,-0.0005001277
300,0.1898169,0.19004859,-0.00023168325
301,0.18967713,0.1898363,-0.0001591593
302,0.18968964,0.1897131,-2.3469329e-05
303,0.18992236,0.1897672,0.00015516579
304,0.18993458,0.19017026,-0.00023567677
305,0.18996139,0.19000743,-4.6044588e-05
306,0.1898692,0.18978755,8.164346e-05
307,0.18978038,0.18978749,-7.107854e-06
308,0.18968737,0.1897058,-1.8432736e-05
309,0.18961409,0.18970065,-8.6560845e-05
310,0.18949103,0.1897339,-0.00024285913
311,0.1895155,0.18969381,-0.0001783073
312,0.18950944,0.18973027,-0.00022083521
313,0.18944319,0.18972856,-0.00028537214
314,0.18935911,0.18966809,-0.00030897558
315,0.18928908,0.18958515,-0.00029607117
316,0.18921527,0.18951489,-0.00029961765
317,0.18916732,0.1894391,-0.00027178228
318,0.18908037,0.18938993,-0.00030955672
319,0.1890538,0.18929672,-0.00024291873
320,0.18875948,0.18925647,-0.00049699843
321,0.18852773,0.18894047,-0.00041273236
322,0.18826818,0.18868071,-0.00041252375
323,0.18854846,0.18839094,0.00015752017
324,0.18857646,0.188646,-6.954372e-05
325,0.18832122,0.18864273,-0.00032150745
326,0.18819238,0.18834692,-0.00015453994
327,0.18804905,0.18817773,-0.00012868643
328,0.18797258,0.18799739,-2.4810433e-05
329,0.18785095,0.1878895,-3.8549304e-05
330,0.18761466,0.18774155,-0.00012688339
331,0.18771301,0.18748279,0.00023022294
332,0.18749492,0.1875619,-6.698072e-05
333,0.18745676,0.18733026,0.00012649596
334,0.18708801,0.18728344,-0.00019542873
335,0.18724877,0.18691106,0.00033770502
336,0.18697521,0.18706483,-8.961558e-05
337,0.18673605,0.18678984,-5.3793192e-05
338,0.18659544,0.18655235,4.3094158e-05
339,0.18631464,0.18641302,-9.8377466e-05
340,0.18667951,0.18613827,0.00054124
341,0.18623246,0.18650812,-0.00027565658
342,0.1859877,0.18607314,-8.544326e-05
343,0.18589692,0.18584493,5.199015e-05
344,0.18576688,0.1857737,-6.824732e-06
345,0.1856115,0.1856725,-6.1005354e-05
346,0.18555081,0.18554553,5.275011e-06
347,0.18550466,0.18551542,-1.0758638e-05
348,0.18540427,0.18549636,-9.2089176e-05
349,0.18502693,0.18542214,-0.0003952086
350,0.18509719,0.18507369,2.3499131e-05
351,0.18488343,0.18517311,-0.00028967857
352,0.18505119,0.1850802,-2.901256e-05
353,0.18503913,0.18577808,-0.0007389486
354,0.18435737,0.17821324,0.006144136
355,0.18430392,0.18415576,0.00014816225
356,0.18429619,0.18437484,-7.864833e-05
357,0.18433426,0.18417995,0.00015431643
358,0.18431672,0.18433793,-2.1204352e-05
359,0.18436764,0.18441533,-4.7683716e-05
360,0.1845694,0.18472494,-0.00015553832
361,0.1845849,0.18490158,-0.00031667948
362,0.18442774,0.18466152,-0.00023378432
363,0.18451908,0.18442321,9.587407e-05
364,0.18455535,0.1845353,2.0056963e-05
365,0.18467641,0.18461165,6.476045e-05
366,0.18481426,0.18476635,4.7907233e-05
367,0.18468763,0.18493275,-0.0002451241
368,0.18474378,0.18483531,-9.153783e-05
369,0.18488911,0.18491839,-2.9280782e-05
370,0.18509799,0.18508516,1.28299e-05
