Time_Step,dt_seconds,Throttle_Control,Steering_Control,True_Abs_pos_x,Pred_Abs_pos_x,True_Delta_pos_x,Pred_Delta_pos_x,Abs_Error_pos_x,True_Abs_pos_y,Pred_Abs_pos_y,True_Delta_pos_y,Pred_Delta_pos_y,Abs_Error_pos_y,True_Abs_pos_z,Pred_Abs_pos_z,True_Delta_pos_z,Pred_Delta_pos_z,Abs_Error_pos_z,True_Abs_rot_0,Pred_Abs_rot_0,True_Delta_rot_0,Pred_Delta_rot_0,Abs_Error_rot_0,True_Abs_rot_1,Pred_Abs_rot_1,True_Delta_rot_1,Pred_Delta_rot_1,Abs_Error_rot_1,True_Abs_rot_2,Pred_Abs_rot_2,True_Delta_rot_2,Pred_Delta_rot_2,Abs_Error_rot_2,True_Abs_rot_3,Pred_Abs_rot_3,True_Delta_rot_3,Pred_Delta_rot_3,Abs_Error_rot_3
2347,0.04,-0.07,-0.17,-0.37,-0.3766045,0.00999999,0.003395503,0.0066044927,0.19,0.19023696,0.00999999,0.010236947,0.00023695827,0.01,0.018462837,-0.02,-0.011537163,0.008462837,-0.01,-0.009208928,0.0,0.00079107203,0.0007910719,-0.85,-0.8581838,0.0,-0.008183788,0.008183777,-0.01,-0.010227976,0.0,-0.00022797646,0.00022797659,-0.52,-0.5253601,0.00999999,0.004639846,0.0053601265
2348,0.04,-0.06,-0.09,-0.37,-0.36424503,0.0,0.005754976,0.0057549775,0.19,0.18965931,0.0,-0.00034068982,0.00034068525,-0.02,-0.018089654,-0.03,-0.028089654,0.0019103456,-0.01,-0.013502517,0.0,-0.0035025168,0.003502517,-0.86,-0.8545103,-0.00999999,-0.0045102714,0.005489707,-0.01,-0.011118427,0.0,-0.0011184274,0.0011184271,-0.51,-0.5111031,0.00999999,0.008896882,0.0011031032
2349,0.04,-0.06,-0.0,-0.37,-0.36981505,0.0,0.00018495879,0.00018495321,0.19,0.18965864,0.0,-0.0003413627,0.0003413558,-0.05,-0.04349472,-0.030000001,-0.02349472,0.0065052807,-0.01,-0.012464203,0.0,-0.0024642036,0.0024642032,-0.86,-0.86164093,0.0,-0.0016408917,0.0016409159,-0.01,-0.009149323,0.0,0.00085067627,0.00085067656,-0.51,-0.5049492,0.0,0.0050507486,0.0050507784
2350,0.04,-0.06,-0.0,-0.37,-0.36830097,0.0,0.0016990401,0.0016990304,0.19,0.1898011,0.0,-0.00019889939,0.0001989007,-0.07,-0.07707645,-0.02,-0.027076447,0.0070764497,-0.01,-0.011290314,0.0,-0.0012903134,0.0012903139,-0.86,-0.8599344,0.0,6.563572e-05,6.5624714e-05,-0.01,-0.009488572,0.0,0.00051142747,0.0005114274,-0.51,-0.5093597,0.0,0.0006402865,0.0006402731
2351,0.04,-0.06,-0.0,-0.37,-0.36862308,0.0,0.0013769341,0.0013769269,0.19,0.18988323,0.0,-0.00011677134,0.0001167655,-0.1,-0.09502435,-0.030000001,-0.025024349,0.004975654,-0.01,-0.011424974,0.0,-0.0014249742,0.0014249738,-0.86,-0.85926735,0.0,0.00073267263,0.0007326603,-0.01,-0.01026982,0.0,-0.00026981975,0.00026981998,-0.51,-0.5111188,0.0,-0.0011188468,0.0011188388
2352,0.04,-0.06,-0.0,-0.37,-0.3691354,0.0,0.00086458056,0.0008645952,0.19,0.18989125,0.0,-0.000108746084,0.000108748674,-0.12,-0.124467775,-0.019999996,-0.024467772,0.004467778,-0.01,-0.010320503,0.0,-0.00032050352,0.0003205035,-0.86,-0.8591781,0.0,0.0008218998,0.00082188845,-0.01,-0.0103010535,0.0,-0.0003010541,0.00030105375,-0.51,-0.5112396,0.0,-0.0012395793,0.0012395978
2353,0.04,-0.06,-0.0,-0.37,-0.36945128,0.0,0.00054871873,0.00054872036,0.19,0.18987858,0.0,-0.000121416146,0.00012141466,-0.14,-0.14455266,-0.020000003,-0.024552662,0.0045526624,-0.01,-0.010031149,0.0,-3.1149073e-05,3.1149015e-05,-0.86,-0.8594603,0.0,0.00053973176,0.00053972006,-0.01,-0.010167635,0.0,-0.00016763565,0.00016763527,-0.51,-0.5109239,0.0,-0.00092394545,0.0009239316
2354,0.04,-0.06,-0.0,-0.37,-0.36957228,0.0,0.000427716,0.00042772293,0.19,0.18986943,0.0,-0.0001305712,0.00013056397,-0.16,-0.1647882,-0.019999996,-0.024788195,0.004788205,-0.01,-0.009966448,0.0,3.3551783e-05,3.3551827e-05,-0.86,-0.8598817,0.0,0.00011833965,0.00011831522,-0.01,-0.010050341,0.0,-5.034077e-05,5.034078e-05,-0.51,-0.5104342,0.0,-0.0004342094,0.00043421984
2355,0.04,-0.07,-0.0,-0.37,-0.3694988,0.0,0.00050120504,0.00050121546,0.19,0.18985422,0.0,-0.00014578435,0.00014577806,-0.19,-0.18551025,-0.030000001,-0.025510259,0.0044897497,-0.01,-0.010085008,0.0,-8.500864e-05,8.500833e-05,-0.86,-0.8601419,0.0,-0.00014184283,0.00014185905,-0.01,-0.010076561,0.0,-7.6561584e-05,7.6561235e-05,-0.51,-0.509983,0.0,1.7009614e-05,1.6987324e-05
2356,0.04,-0.07,-0.0,-0.37,-0.36943486,0.0,0.00056513003,0.00056514144,0.19,0.18985797,0.0,-0.00014201908,0.00014202297,-0.21,-0.21640866,-0.019999996,-0.026408654,0.0064086616,-0.01,-0.009983311,0.0,1.6688622e-05,1.668837e-05,-0.86,-0.8602472,0.0,-0.0002471803,0.00024718046,-0.01,-0.0097089065,0.0,0.00029109334,0.00029109325,-0.51,-0.5098966,0.0,0.000103437764,0.00010341406
2357,0.04,-0.06,-0.0,-0.37,-0.36949545,0.0,0.0005045457,0.0005045533,0.19,0.1898822,0.0,-0.00011779658,0.00011779368,-0.24,-0.23637441,-0.030000001,-0.026374413,0.0036255866,-0.01,-0.009692779,0.0,0.00030722073,0.00030722097,-0.86,-0.8602272,0.0,-0.00022719496,0.0002272129,-0.01,-0.009466044,0.0,0.0005339559,0.0005339561,-0.51,-0.51026464,0.0,-0.00026466436,0.00026464462
2358,0.04,-0.06,-0.0,-0.37,-0.36943442,0.0,0.00056558853,0.0005655885,0.19,0.1898889,0.0,-0.000111101,0.00011110306,-0.26,-0.26594183,-0.019999996,-0.02594183,0.005941838,-0.01,-0.0096646,0.0,0.00033540014,0.0003354,-0.86,-0.85991865,0.0,8.137147e-05,8.136034e-05,-0.01,-0.00959197,0.0,0.00040803012,0.00040803012,-0.51,-0.5106617,0.0,-0.0006617403,0.00066173077
2359,0.04,-0.07,-0.0,-0.37,-0.36911273,0.0,0.0008872734,0.00088727474,0.19,0.18988027,0.0,-0.00011972545,0.00011973083,-0.3,-0.2861288,-0.04000002,-0.026128791,0.013871223,-0.01,-0.009880755,0.0,0.00011924441,0.00011924468,-0.86,-0.8596946,0.0,0.00030539688,0.0003054142,-0.01,-0.009703721,0.0,0.000296279,0.00029627886,-0.51,-0.5107631,0.0,-0.0007631066,0.00076311827
2360,0.04,-0.06,-0.0,-0.37,-0.36904767,0.0,0.00095233106,0.0009523332,0.19,0.18989411,0.0,-0.0001058912,0.00010588765,-0.32,-0.32602143,-0.01999998,-0.026021415,0.00602144,-0.01,-0.010012904,0.0,-1.2904071e-05,1.2904406e-05,-0.86,-0.85985094,0.0,0.00014905476,0.00014907122,-0.01,-0.009511975,0.0,0.00048802485,0.00048802514,-0.51,-0.5108272,0.0,-0.0008271745,0.00082719326
2361,0.04,-0.06,0.0,-0.37,-0.3689883,0.0,0.0010117053,0.0010116994,0.19,0.1898844,0.0,-0.00011560278,0.00011560321,-0.34,-0.34568807,-0.02000001,-0.025688075,0.0056880713,-0.01,-0.010016939,0.0,-1.6939157e-05,1.6938895e-05,-0.86,-0.8598664,0.0,0.00013365637,0.00013363361,-0.01,-0.00959681,0.0,0.00040318977,0.00040319003,-0.51,-0.51074576,0.0,-0.0007457513,0.0007457733
2362,0.04,-0.06,0.05,-0.37,-0.3690239,0.0,0.000976123,0.00097611547,0.19,0.18989196,0.0,-0.00010803725,0.00010803342,-0.37,-0.36527324,-0.030000001,-0.025273234,0.0047267675,-0.01,-0.010217016,0.0,-0.00021701622,0.00021701586,-0.86,-0.8596849,0.0,0.00031515458,0.00031512976,-0.01,-0.009810284,0.0,0.00018971629,0.000189716,-0.51,-0.5108299,0.0,-0.00082995277,0.0008299351
2363,0.04,-0.06,0.09,-0.37,-0.3693592,0.0,0.00064081204,0.00064080954,0.19,0.1899039,0.0,-9.609823e-05,9.609759e-05,-0.39,-0.3949632,-0.01999998,-0.024963208,0.004963219,-0.01,-0.010383335,0.0,-0.00038333528,0.00038333517,-0.86,-0.85904694,0.0,0.0009530547,0.00095307827,-0.01,-0.009770853,0.0,0.00022914665,0.00022914633,-0.52,-0.51158667,-0.00999999,-0.0015866501,0.008413315
2364,0.04,-0.06,0.15,-0.37,-0.36981708,0.0,0.00018291942,0.00018292665,0.19,0.18992303,0.0,-7.6967575e-05,7.69645e-05,-0.41,-0.41454652,-0.02000001,-0.024546543,0.004546523,-0.01,-0.010427565,0.0,-0.00042756586,0.00042756554,-0.86,-0.8580104,0.0,0.0019895805,0.001989603,-0.01,-0.009814172,0.0,0.00018582797,0.00018582772,-0.52,-0.52307695,0.0,-0.0030769953,0.0030769706
2365,0.04,-0.07,0.23,-0.37,-0.37024206,0.0,-0.00024206482,0.00024205446,0.19,0.18994287,0.0,-5.7126155e-05,5.7131052e-05,-0.43,-0.43482652,-0.02000001,-0.024826538,0.004826516,-0.01,-0.010187246,0.0,-0.0001872463,0.00018724613,-0.85,-0.8565551,0.00999999,0.0034449133,0.0065550804,-0.01,-0.010126653,0.0,-0.0001266534,0.00012665335,-0.52,-0.5252348,0.0,-0.0052348524,0.0052348375
2366,0.04,-0.07,0.3,-0.38,-0.37107176,-0.00999999,-0.0010717547,0.008928239,0.19,0.18999556,0.0,-4.43461e-06,4.440546e-06,-0.46,-0.45549768,-0.030000001,-0.02549768,0.0045023263,-0.01,-0.010039134,0.0,-3.9134196e-05,3.9134175e-05,-0.85,-0.84477746,0.0,0.0052225804,0.005222559,-0.01,-0.009775383,0.0,0.00022461667,0.00022461638,-0.53,-0.5280682,-0.00999999,-0.008068211,0.0019317865
2367,0.04,-0.07,0.35,-0.38,-0.38225207,0.0,-0.002252068,0.002252072,0.19,0.19001865,0.0,1.8651108e-05,1.8656254e-05,-0.49,-0.48627764,-0.030000001,-0.026277618,0.0037223697,-0.01,-0.00976041,0.0,0.00023959062,0.00023959018,-0.84,-0.84271485,0.01000005,0.0072851805,0.0027148724,-0.01,-0.009517516,0.0,0.00048248417,0.00048248377,-0.54,-0.54118466,-0.01000005,-0.011184702,0.0011846423
2368,0.04,-0.06,0.36,-0.38,-0.3832328,0.0,-0.0032328027,0.003232807,0.19,0.1900337,0.0,3.3710487e-05,3.3706427e-05,-0.53,-0.51616514,-0.03999996,-0.02616512,0.013834834,-0.01,-0.009977858,0.0,2.2142112e-05,2.2142194e-05,-0.82,-0.83138394,0.01999998,0.008616046,0.011383951,-0.0,-0.009037139,0.01,0.00096286123,0.009037139,-0.57,-0.5534925,-0.029999971,-0.013492437,0.016507506
2369,0.04,-0.07,0.46,-0.38,-0.382962,0.0,-0.002961983,0.0029619932,0.19,0.1899799,0.0,-2.010814e-05,2.0101666e-05,-0.55,-0.555495,-0.02000004,-0.025495078,0.005495012,-0.01,-0.009876017,0.0,0.00012398198,0.00012398232,-0.81,-0.8109143,0.00999999,0.009085699,0.00091427565,-0.0,-0.0042717843,0.0,-0.0042717843,0.0042717843,-0.58,-0.5840635,-0.00999999,-0.014063451,0.004063487
2370,0.04,-0.06,0.48,-0.38,-0.38277435,0.0,-0.0027743552,0.0027743578,0.19,0.19004238,0.0,4.2380692e-05,4.2378902e-05,-0.57,-0.57492566,-0.01999998,-0.024925644,0.0049256682,-0.01,-0.010803219,0.0,-0.0008032188,0.00080321915,-0.8,-0.7994131,0.00999999,0.010586901,0.00058692694,-0.01,-0.0019562212,-0.01,-0.0019562212,0.008043779,-0.59,-0.59551907,-0.00999999,-0.015519064,0.005519092
2371,0.04,-0.07,0.49,-0.38,-0.38281822,0.0,-0.002818213,0.0028182268,0.19,0.18999365,0.0,-6.3406756e-06,6.3478947e-06,-0.59,-0.5937875,-0.01999998,-0.023787515,0.0037875175,-0.01,-0.010340936,0.0,-0.0003409357,0.00034093577,-0.8,-0.78843695,0.0,0.011563055,0.011563063,-0.0,-0.008720285,0.01,0.0012797149,0.008720285,-0.6,-0.60624504,-0.01000005,-0.016245086,0.006245017
2372,0.04,-0.06,0.5,-0.38,-0.38082737,0.0,-0.00082738546,0.0008273721,0.19,0.19001831,0.0,1.8312345e-05,1.8313527e-05,-0.61,-0.61167806,-0.02000004,-0.021678103,0.0016780496,-0.01,-0.010622153,0.0,-0.00062215375,0.0006221533,-0.79,-0.78863513,0.00999999,0.0113648875,0.0013648868,-0.01,-0.0013918591,-0.01,-0.0013918591,0.008608141,-0.62,-0.6153284,-0.01999998,-0.015328328,0.0046716332
2373,0.04,-0.06,0.5,-0.38,-0.38062933,0.0,-0.0006293317,0.00062933564,0.19,0.19001587,0.0,1.5876012e-05,1.5869737e-05,-0.63,-0.63089275,-0.01999998,-0.020892726,0.00089275837,-0.01,-0.010403823,0.0,-0.00040382304,0.00040382333,-0.77,-0.77845657,0.02000004,0.011543444,0.008456588,-0.01,-0.008473819,0.0,0.001526181,0.0015261807,-0.63,-0.63516194,-0.00999999,-0.015161944,0.005161941
2374,0.04,-0.06,0.5,-0.38,-0.37921658,0.0,0.0007834237,0.00078341365,0.19,0.19002515,0.0,2.5154477e-05,2.515316e-05,-0.65,-0.6495883,-0.01999998,-0.019588318,0.00041168928,-0.01,-0.010367308,0.0,-0.00036730806,0.00036730804,-0.76,-0.75879246,0.00999999,0.0112075405,0.0012075305,-0.01,-0.009194239,0.0,0.0008057604,0.00080576073,-0.65,-0.64415276,-0.01999998,-0.014152774,0.0058472157
2375,0.04,-0.07,0.5,-0.38,-0.3780206,0.0,0.0019793676,0.0019793808,0.19,0.19002186,0.0,2.186024e-05,2.1860003e-05,-0.67,-0.66906416,-0.02000004,-0.019064177,0.0009358525,-0.01,-0.009901299,0.0,9.8700184e-05,9.8700635e-05,-0.75,-0.74899495,0.00999999,0.011005056,0.0010050535,-0.01,-0.009941544,0.0,5.845528e-05,5.8455393e-05,-0.66,-0.66329813,-0.01000005,-0.013298139,0.0032981038
2376,0.04,-0.07,0.5,-0.37,-0.3768557,0.00999999,0.0031442803,0.0068556964,0.19,0.19003627,0.0,3.6271256e-05,3.6269426e-05,-0.7,-0.68836254,-0.029999971,-0.018362505,0.011637449,-0.01,-0.010324965,0.0,-0.00032496563,0.00032496545,-0.73,-0.7389705,0.01999998,0.011029505,0.008970499,-0.01,-0.009634335,0.0,0.000365665,0.00036566518,-0.68,-0.6730271,-0.01999998,-0.013027081,0.006972909
2377,0.04,-0.06,0.5,-0.37,-0.36615172,0.0,0.0038482798,0.0038482845,0.19,0.19003959,0.0,3.95977e-05,3.9592385e-05,-0.72,-0.7172898,-0.02000004,-0.017289832,0.0027102232,-0.01,-0.01073388,0.0,-0.0007338804,0.0007338803,-0.72,-0.71875954,0.00999999,0.011240466,0.0012404919,-0.01,-0.009296286,0.0,0.0007037135,0.00070371386,-0.69,-0.69263107,-0.00999999,-0.012631036,0.0026310682
2378,0.04,-0.06,0.5,-0.36,-0.36554247,0.00999999,0.004457526,0.005542457,0.19,0.18997458,0.0,-2.5419538e-05,2.5421381e-05,-0.74,-0.7367605,-0.01999998,-0.016760495,0.0032395124,-0.01,-0.010357487,0.0,-0.00035748712,0.00035748724,-0.71,-0.7084971,0.01000005,0.011502908,0.0015028715,-0.01,-0.009642118,0.0,0.00035788206,0.00035788212,-0.71,-0.7021816,-0.01999998,-0.012181581,0.007818401
2379,0.04,-0.07,0.5,-0.36,-0.35496336,0.0,0.0050366553,0.005036652,0.19,0.18980731,0.0,-0.00019267974,0.00019268692,-0.76,-0.7574741,-0.01999998,-0.017474096,0.002525866,-0.01,-0.009841767,0.0,0.00015823227,0.00015823264,-0.69,-0.69782406,0.01999998,0.012175902,0.007824063,-0.01,-0.010168529,0.0,-0.00016852964,0.00016852934,-0.72,-0.7220922,-0.01000005,-0.012092237,0.0020921826
2380,0.04,-0.06,0.5,-0.35,-0.3539246,0.01000002,0.0060754204,0.003924608,0.19,0.18979888,0.0,-0.00020112458,0.00020112097,-0.77,-0.7766785,-0.00999999,-0.016678495,0.0066785216,-0.01,-0.010368177,0.0,-0.00036817734,0.00036817696,-0.68,-0.67774206,0.00999999,0.012257925,0.0022579432,-0.01,-0.009302772,0.0,0.0006972282,0.0006972281,-0.73,-0.73198247,-0.00999999,-0.011982443,0.0019824505
2381,0.04,-0.06,0.5,-0.35,-0.34409222,0.0,0.0059077605,0.005907774,0.19,0.18937336,0.0,-0.0006266364,0.00062663853,-0.79,-0.78770524,-0.02000004,-0.017705243,0.0022947788,-0.01,-0.009816482,0.0,0.00018351832,0.00018351804,-0.67,-0.667451,0.00999999,0.012548976,0.0025489926,-0.01,-0.0094502205,0.0,0.0005497789,0.0005497793,-0.74,-0.74189824,-0.00999999,-0.011898196,0.0018982291
2382,0.04,-0.07,0.5,-0.34,-0.34386057,0.00999999,0.006139439,0.003860563,0.19,0.18765673,0.0,-0.0023432702,0.0023432672,-0.81,-0.80808634,-0.01999998,-0.01808633,0.0019136667,-0.01,-0.009839979,0.0,0.00016002043,0.00016002078,-0.66,-0.6566409,0.00999999,0.013359101,0.003359139,-0.01,-0.009487548,0.0,0.0005124515,0.00051245186,-0.75,-0.75158864,-0.00999999,-0.01158861,0.0015886426
2383,0.04,-0.06,0.5,-0.33,-0.3334172,0.00999999,0.006582798,0.003417194,0.19,0.18753187,0.0,-0.0024681247,0.002468124,-0.82,-0.8279465,-0.00999999,-0.01794647,0.007946491,-0.01,-0.010321194,0.0,-0.00032119476,0.00032119453,-0.65,-0.6468227,0.01000005,0.013177326,0.0031772852,-0.01,-0.008975851,0.0,0.0010241488,0.0010241484,-0.76,-0.7619098,-0.00999999,-0.011909809,0.0019097924
2384,0.04,-0.06,0.5,-0.32,-0.3237186,0.01000002,0.0062813996,0.0037186146,0.18,0.1855552,-0.00999999,-0.0044447985,0.0055551976,-0.84,-0.8404806,-0.01999998,-0.020480629,0.00048065186,-0.01,-0.01021924,0.0,-0.00021923942,0.00021923985,-0.63,-0.63634986,0.01999998,0.01365011,0.0063498616,-0.01,-0.009049169,0.0,0.0009508313,0.000950831,-0.78,-0.7717401,-0.01999998,-0.011740091,0.008259892
2385,0.04,-0.07,0.5,-0.31,-0.3093463,0.00999999,0.010653715,0.00065371394,0.18,0.18192954,0.0,0.0019295339,0.0019295365,-0.87,-0.8586677,-0.030000031,-0.018667702,0.011332333,-0.01,-0.009447109,0.0,0.00055289123,0.0005528908,-0.61,-0.6121869,0.01999998,0.017813114,0.0021868944,-0.01,-0.0095515875,0.0,0.0004484122,0.00044841226,-0.79,-0.7956728,-0.01000005,-0.015672827,0.005672753
2386,0.04,-0.06,0.5,-0.3,-0.30308202,0.00999999,0.0069179744,0.0030820072,0.18,0.18180597,0.0,0.0018059654,0.0018059611,-0.89,-0.8864652,-0.01999998,-0.016465208,0.0035347939,-0.01,-0.010020152,0.0,-2.0152345e-05,2.0151958e-05,-0.6,-0.59640867,0.00999999,0.013591349,0.0035913587,-0.01,-0.009465932,0.0,0.00053406827,0.00053406786,-0.8,-0.80220747,-0.00999999,-0.012207467,0.002207458
2387,0.04,-0.06,0.5,-0.29,-0.29221514,0.01000002,0.007784877,0.002215147,0.18,0.18018682,0.0,0.00018680985,0.00018681586,-0.9,-0.9069767,-0.00999999,-0.01697671,0.0069767237,-0.01,-0.010189179,0.0,-0.00018917976,0.00018917955,-0.58,-0.58729887,0.02000004,0.01270118,0.007298887,-0.01,-0.009232165,0.0,0.00076783425,0.0007678345,-0.81,-0.81098163,-0.00999999,-0.01098162,0.0009816289
2388,0.04,-0.06,0.5,-0.28,-0.28158763,0.00999999,0.008412374,0.0015876293,0.18,0.180119,0.0,0.00011898567,0.00011898577,-0.92,-0.9163113,-0.02000004,-0.016311362,0.003688693,-0.01,-0.009472676,0.0,0.000527324,0.00052732415,-0.57,-0.5661757,0.00999999,0.013824268,0.0038242936,-0.01,-0.009509736,0.0,0.00049026404,0.00049026404,-0.82,-0.82127875,-0.00999999,-0.011278751,0.001278758
2389,0.04,-0.06,0.5,-0.27,-0.271161,0.00999999,0.008839014,0.0011609793,0.18,0.18013918,0.0,0.00013917491,0.00013917685,-0.93,-0.93572706,-0.00999999,-0.015727026,0.0057270527,-0.01,-0.009314783,0.0,0.0006852169,0.00068521686,-0.56,-0.5549785,0.00999999,0.015021485,0.0050215125,-0.01,-0.009983279,0.0,1.6720895e-05,1.6720966e-05,-0.83,-0.83135784,-0.00999999,-0.011357814,0.0013578534
2390,0.04,-0.06,0.48,-0.26,-0.26091695,0.01000002,0.009083064,0.00091695786,0.18,0.18010363,0.0,0.000103627,0.000103622675,-0.95,-0.9451044,-0.01999998,-0.015104408,0.004895568,-0.01,-0.009158029,0.0,0.00084197044,0.00084197056,-0.54,-0.5451237,0.01999998,0.014876318,0.005123675,-0.01,-0.010100757,0.0,-0.00010075687,0.000100756995,-0.84,-0.84059465,-0.00999999,-0.010594636,0.00059467554
2391,0.04,-0.06,0.46,-0.25,-0.2502954,0.00999999,0.009704591,0.00029540062,0.18,0.1800726,0.0,7.2598654e-05,7.259846e-05,-0.96,-0.96420014,-0.00999999,-0.014200162,0.0042001605,-0.01,-0.009015747,0.0,0.0009842525,0.0009842524,-0.53,-0.52560544,0.01000005,0.014394591,0.0043945312,-0.01,-0.009964945,0.0,3.505522e-05,3.505498e-05,-0.85,-0.84959054,-0.01000005,-0.00959056,0.0004094839
2392,0.04,-0.06,0.44,-0.24,-0.23950139,0.010000005,0.010498617,0.00049860775,0.18,0.18005326,0.0,5.325061e-05,5.325675e-05,-0.97,-0.9734089,-0.01000005,-0.013408923,0.0034088492,-0.01,-0.008889272,0.0,0.0011107275,0.0011107279,-0.51,-0.5160549,0.01999998,0.013945024,0.006054938,-0.01,-0.00985783,0.0,0.00014217013,0.00014217012,-0.86,-0.85865736,-0.00999999,-0.008657355,0.0013426542
2393,0.04,-0.06,0.43,-0.22,-0.2286663,0.019999996,0.011333686,0.008666307,0.18,0.1800389,0.0,3.8888837e-05,3.889203e-05,-0.99,-0.9827488,-0.01999998,-0.012748759,0.007251203,-0.01,-0.00873556,0.0,0.00126444,0.0012644399,-0.5,-0.4964268,0.00999999,0.013573198,0.003573209,-0.01,-0.009861117,0.0,0.00013888282,0.00013888255,-0.87,-0.86785454,-0.00999999,-0.007854492,0.0021454692
2394,0.04,-0.07,0.41,-0.21,-0.20740412,0.010000005,0.012595878,0.0025958717,0.18,0.18000859,0.0,8.5803385e-06,8.583069e-06,-1.0,-1.0022671,-0.00999999,-0.0122671295,0.0022671223,-0.01,-0.008309433,0.0,0.0016905664,0.0016905665,-0.48,-0.4867243,0.02000001,0.013275705,0.006724298,-0.01,-0.010235654,0.0,-0.00023565412,0.00023565441,-0.87,-0.87727475,0.0,-0.0072747474,0.007274747
2395,0.04,-0.06,0.37,-0.19,-0.19704768,0.019999996,0.012952311,0.007047683,0.18,0.18001714,0.0,1.713912e-05,1.7136335e-05,-1.01,-1.0120519,-0.00999999,-0.012051961,0.0020519495,-0.01,-0.00872267,0.0,0.0012773297,0.0012773294,-0.47,-0.4667601,0.00999999,0.013239891,0.0032398999,-0.01,-0.00946271,0.0,0.00053729,0.00053729024,-0.88,-0.8769622,-0.00999999,-0.006962203,0.0030378103
2396,0.04,-0.07,0.34,-0.18,-0.17584579,0.00999999,0.014154205,0.00415422,0.18,0.17999727,0.0,-2.741589e-06,2.7418137e-06,-1.02,-1.0218359,-0.00999999,-0.011835991,0.0018359423,-0.01,-0.0078264,0.0,0.0021735996,0.0021735998,-0.47,-0.45718706,0.0,0.012812933,0.012812942,-0.01,-0.010071308,0.0,-7.1308415e-05,7.1308576e-05,-0.89,-0.8865687,-0.00999999,-0.006568714,0.0034312606
2397,0.04,-0.06,0.32,-0.17,-0.16566305,0.010000005,0.014336952,0.004336953,0.18,0.18000937,0.0,9.356455e-06,9.357929e-06,-1.03,-1.0315987,-0.00999999,-0.011598701,0.0015987158,-0.01,-0.008438904,0.0,0.0015610962,0.0015610959,-0.45,-0.45754793,0.02000001,0.012452076,0.007547945,-0.01,-0.009571113,0.0,0.00042888685,0.00042888708,-0.89,-0.89613914,0.0,-0.006139186,0.006139159
2398,0.04,-0.06,0.3,-0.15,-0.15524375,0.019999996,0.014756248,0.0052437484,0.18,0.18001148,0.0,1.1472147e-05,1.1473894e-05,-1.05,-1.0410463,-0.01999998,-0.011046317,0.0089536905,-0.0,-0.008102519,0.01,0.0018974803,0.008102519,-0.43,-0.43818393,0.01999998,0.011816062,0.008183926,-0.01,-0.009716288,0.0,0.00028371156,0.0002837116,-0.9,-0.8955611,-0.00999999,-0.0055611013,0.004438877
2399,0.04,-0.06,0.28,-0.13,-0.13510016,0.02000001,0.014899851,0.005100161,0.18,0.18000203,0.0,2.0262582e-06,2.026558e-06,-1.06,-1.0598108,-0.00999999,-0.009810863,0.00018918514,-0.0,-0.003649894,0.0,-0.003649894,0.003649894,-0.42,-0.41889837,0.01000002,0.011101645,0.001101613,-0.01,-0.010258742,0.0,-0.00025874234,0.0002587419,-0.91,-0.9049067,-0.01000005,-0.0049066865,0.005093336
2400,0.04,-0.06,0.26,-0.11,-0.11385433,0.019999996,0.016145669,0.003854327,0.18,0.17998295,0.0,-1.705676e-05,1.706183e-05,-1.07,-1.0690953,-0.01000011,-0.009095289,0.0009047985,-0.0,-0.0017240583,0.0,-0.0017240583,0.0017240583,-0.41,-0.4094007,0.00999999,0.010599289,0.0005992949,-0.01,-0.010247217,0.0,-0.00024721684,0.00024721678,-0.91,-0.9147532,0.0,-0.0047531696,0.0047531724
2401,0.04,-0.06,0.24,-0.09,-0.09308149,0.019999996,0.016918512,0.0030814856,0.18,0.17997606,0.0,-2.394407e-05,2.3946166e-05,-1.08,-1.0788378,-0.00999999,-0.008837738,0.0011622906,-0.0,-0.0005431295,0.0,-0.0005431295,0.0005431295,-0.4,-0.3996254,0.00999999,0.010374612,0.0003746152,-0.01,-0.010108911,0.0,-0.00010891177,0.000108911656,-0.92,-0.9143622,-0.00999999,-0.004362187,0.0056378245
2402,0.04,-0.06,0.21,-0.06,-0.07219817,0.030000005,0.017801834,0.012198169,0.18,0.17998533,0.0,-1.4676337e-05,1.4677644e-05,-1.09,-1.0885733,-0.00999999,-0.008573255,0.0014266968,-0.0,-0.0002720621,0.0,-0.0002720621,0.0002720621,-0.39,-0.39012828,0.01000002,0.009871718,0.000128299,-0.01,-0.010037233,0.0,-3.723352e-05,3.7233345e-05,-0.92,-0.9239528,0.0,-0.003952804,0.003952801
2403,0.04,-0.06,0.16,-0.04,-0.041401364,0.02,0.018598637,0.0014013648,0.18,0.17999563,0.0,-4.375791e-06,4.3809414e-06,-1.1,-1.0983491,-0.00999999,-0.008349088,0.0016509295,-0.0,-7.854752e-05,0.0,-7.854752e-05,7.854752e-05,-0.38,-0.380895,0.00999999,0.009105002,0.00089499354,-0.01,-0.009864611,0.0,0.00013538955,0.00013538916,-0.93,-0.923434,-0.00999999,-0.003433975,0.006565988
