Time_Step,dt_seconds,Throttle_Control,Steering_Control,True_Abs_pos_x,Pred_Abs_pos_x,True_Delta_pos_x,Pred_Delta_pos_x,Abs_Error_pos_x,True_Abs_pos_y,Pred_Abs_pos_y,True_Delta_pos_y,Pred_Delta_pos_y,Abs_Error_pos_y,True_Abs_pos_z,Pred_Abs_pos_z,True_Delta_pos_z,Pred_Delta_pos_z,Abs_Error_pos_z,True_Abs_rot_0,Pred_Abs_rot_0,True_Delta_rot_0,Pred_Delta_rot_0,Abs_Error_rot_0,True_Abs_rot_1,Pred_Abs_rot_1,True_Delta_rot_1,Pred_Delta_rot_1,Abs_Error_rot_1,True_Abs_rot_2,Pred_Abs_rot_2,True_Delta_rot_2,Pred_Delta_rot_2,Abs_Error_rot_2,True_Abs_rot_3,Pred_Abs_rot_3,True_Delta_rot_3,Pred_Delta_rot_3,Abs_Error_rot_3
13,0.04,-0.07,0.23,1.51,1.5061452,-0.00999999,-0.013854752,0.0038547516,0.19,0.18994959,0.0,-5.0414477e-05,5.041063e-05,1.99,1.9906782,0.01999998,0.020678122,0.00067818165,-0.01,-0.010822937,0.0,-0.0008229373,0.0008229371,-0.76,-0.7671049,0.0,-0.007104916,0.0071049333,0.01,0.01051223,0.0,0.0005122298,0.0005122302,0.65,0.6415554,0.0,-0.008444574,0.008444548
14,0.04,-0.07,0.23,1.5,1.4957021,-0.00999999,-0.014297814,0.0042978525,0.19,0.18995416,0.0,-4.5834233e-05,4.5835972e-05,2.0,2.0103889,0.00999999,0.020388814,0.010388851,-0.01,-0.010792551,0.0,-0.0007925507,0.00079255085,-0.77,-0.7669457,-0.00999999,-0.0069457307,0.0030542612,0.01,0.010641667,0.0,0.0006416675,0.0006416673,0.64,0.6414282,-0.00999999,-0.008571812,0.0014281869
15,0.04,-0.07,0.23,1.48,1.4853879,-0.01999998,-0.014612057,0.0053879023,0.19,0.18995771,0.0,-4.2286338e-05,4.2289495e-05,2.03,2.019978,0.029999971,0.01997799,0.010021925,-0.01,-0.0108604105,0.0,-0.0008604107,0.00086041074,-0.78,-0.77674073,-0.00999999,-0.0067407642,0.0032592416,0.01,0.010629447,0.0,0.00062944693,0.0006294474,0.62,0.6314096,-0.01999998,-0.008590417,0.011409581
16,0.04,-0.07,0.23,1.46,1.464973,-0.01999998,-0.01502704,0.0049729347,0.19,0.18996331,0.0,-3.6688645e-05,3.668666e-05,2.05,2.049556,0.01999998,0.019556062,0.0004439354,-0.01,-0.0108698765,0.0,-0.0008698766,0.0008698767,-0.79,-0.7865895,-0.01000005,-0.0065895575,0.0034105182,0.01,0.010590993,0.0,0.00059099344,0.0005909931,0.62,0.6113483,0.0,-0.008651744,0.008651733
17,0.04,-0.07,0.23,1.45,1.4445622,-0.00999999,-0.015437812,0.005437851,0.19,0.18996492,0.0,-3.5075132e-05,3.5077333e-05,2.07,2.0691588,0.01999998,0.019158812,0.00084114075,-0.02,-0.0107378755,-0.01,-0.0007378754,0.009262124,-0.79,-0.7964157,0.0,-0.006415656,0.006415665,0.01,0.01061926,0.0,0.0006192607,0.0006192606,0.61,0.61134106,-0.00999999,-0.008658962,0.0013410449
18,0.04,-0.07,0.24,1.44,1.4340354,-0.00999999,-0.01596467,0.005964637,0.19,0.18997866,0.0,-2.1340516e-05,2.1338463e-05,2.09,2.0891936,0.01999998,0.019193562,0.00080633163,-0.02,-0.015176769,0.0,0.0048232307,0.00482323,-0.8,-0.79625124,-0.00999999,-0.00625122,0.0037487745,0.01,0.010755007,0.0,0.00075500726,0.0007550074,0.6,0.6018627,-0.00999999,-0.0081373025,0.0018627048
19,0.04,-0.07,0.24,1.43,1.4234672,-0.01000011,-0.016532922,0.0065327883,0.19,0.1899328,0.0,-6.720252e-05,6.720424e-05,2.1,2.108815,0.00999999,0.018814974,0.00881505,-0.02,-0.016955873,0.0,0.0030441273,0.0030441266,-0.81,-0.805513,-0.00999999,-0.0055130105,0.004486978,0.01,0.011270076,0.0,0.0012700763,0.0012700763,0.59,0.59175277,-0.01000005,-0.008247243,0.0017527938
20,0.04,-0.07,0.24,1.41,1.413135,-0.01999998,-0.016864879,0.003135085,0.19,0.18992363,0.0,-7.636638e-05,7.636845e-05,2.12,2.119183,0.01999998,0.019183172,0.00081682205,-0.02,-0.01711049,0.0,0.00288951,0.0028895102,-0.81,-0.8157316,0.0,-0.0057315887,0.0057315826,0.01,0.011253817,0.0,0.0012538168,0.0012538172,0.58,0.5815038,-0.00999999,-0.0084961755,0.0015038252
21,0.04,-0.07,0.24,1.4,1.39274,-0.00999999,-0.01725994,0.007259965,0.19,0.18991615,0.0,-8.385626e-05,8.3848834e-05,2.13,2.1392543,0.010000229,0.019254439,0.009254217,-0.02,-0.017468467,0.0,0.0025315313,0.0025315322,-0.82,-0.81574243,-0.00999999,-0.0057424353,0.00425756,0.01,0.011149478,0.0,0.0011494785,0.0011494784,0.58,0.57135636,0.0,-0.00864364,0.008643627
22,0.04,-0.07,0.24,1.39,1.3824918,-0.00999999,-0.017508144,0.0075081587,0.19,0.18991396,0.0,-8.604376e-05,8.6039305e-05,2.15,2.14913,0.01999998,0.019129904,0.0008699894,-0.02,-0.01744501,0.0,0.0025549901,0.0025549904,-0.82,-0.82579905,0.0,-0.005799034,0.005799055,0.01,0.011107089,0.0,0.0011070888,0.0011070892,0.57,0.5712161,-0.00999999,-0.008783853,0.0012161136
23,0.04,-0.07,0.24,1.37,1.3722336,-0.01999998,-0.01776639,0.0022336245,0.19,0.18991362,0.0,-8.6379856e-05,8.638203e-05,2.16,2.1689396,0.00999999,0.018939607,0.008939505,-0.02,-0.017541755,0.0,0.0024582446,0.0024582446,-0.83,-0.8257946,-0.00999999,-0.0057945848,0.0042054057,0.01,0.011096621,0.0,0.001096621,0.0010966212,0.56,0.56108284,-0.00999999,-0.008917125,0.0010828376
24,0.04,-0.07,0.24,1.36,1.3520197,-0.00999999,-0.01798028,0.007980347,0.19,0.18991488,0.0,-8.511594e-05,8.511543e-05,2.18,2.178674,0.01999998,0.018673996,0.0013260841,-0.01,-0.017545216,0.01,0.0024547842,0.007545216,-0.83,-0.8357362,0.0,-0.005736246,0.005736232,0.01,0.011092672,0.0,0.0010926719,0.0010926723,0.55,0.55100363,-0.00999999,-0.008996392,0.001003623
25,0.04,-0.07,0.24,1.34,1.3420764,-0.01999998,-0.01792357,0.0020763874,0.19,0.1899091,0.0,-9.0898e-05,9.089708e-05,2.2,2.1977627,0.01999998,0.017762732,0.00223732,-0.01,-0.013046254,0.0,-0.0030462546,0.0030462546,-0.84,-0.8357493,-0.00999999,-0.005749353,0.0042506456,0.01,0.0108892415,0.0,0.00088924204,0.0008892417,0.54,0.54056966,-0.00999999,-0.0094303675,0.0005696416
26,0.04,-0.07,0.24,1.33,1.3217573,-0.00999999,-0.01824275,0.008242726,0.19,0.1899471,0.0,-5.2900854e-05,5.2899122e-05,2.21,2.2179651,0.00999999,0.01796496,0.007965088,-0.01,-0.011119873,0.0,-0.0011198734,0.0011198735,-0.84,-0.8463666,0.0,-0.0063665854,0.0063666105,0.01,0.010304691,0.0,0.0003046913,0.0003046915,0.54,0.530126,0.0,-0.009874032,0.009874046
27,0.04,-0.07,0.24,1.31,1.3115209,-0.0200001,-0.018479086,0.0015209913,0.19,0.1899562,0.0,-4.3796143e-05,4.3794513e-05,2.22,2.2270412,0.00999999,0.017041093,0.007041216,-0.01,-0.010900002,0.0,-0.0009000023,0.0009000022,-0.85,-0.8458751,-0.01000005,-0.005875085,0.0041249394,0.01,0.010469089,0.0,0.00046908925,0.0004690895,0.53,0.5301458,-0.01000005,-0.009854185,0.00014585257
28,0.04,-0.07,0.24,1.3,1.291391,-0.00999999,-0.018608883,0.008608937,0.19,0.18996672,0.0,-3.3275046e-05,3.3274293e-05,2.23,2.2365468,0.00999999,0.016546706,0.0065467358,-0.01,-0.010488236,0.0,-0.00048823692,0.00048823655,-0.85,-0.8557005,0.0,-0.0057004876,0.005700469,0.01,0.010652938,0.0,0.0006529381,0.00065293815,0.52,0.5200192,-0.00999999,-0.009980771,1.9192696e-05
29,0.04,-0.07,0.24,1.29,1.2812674,-0.00999999,-0.018732533,0.008732557,0.19,0.18996815,0.0,-3.183884e-05,3.184378e-05,2.25,2.2461047,0.01999998,0.016104616,0.0038952827,-0.01,-0.010456675,0.0,-0.00045667475,0.00045667496,-0.86,-0.8554473,-0.00999999,-0.005447266,0.004552722,0.01,0.010667888,0.0,0.00066788914,0.0006678887,0.51,0.51003516,-0.00999999,-0.009964818,3.516674e-05
