Time Step,True pos_z,Predicted pos_z,Error
155,0.7674397,0.77521586,-0.007776141
156,0.7885861,0.79529583,-0.0067097545
157,0.81135803,0.8167171,-0.0053590536
158,0.83508307,0.84084034,-0.0057572722
159,0.8853108,0.8659486,0.019362211
160,0.9117675,0.9176215,-0.0058540106
161,0.9390145,0.94532853,-0.006314039
162,0.967091,0.97362924,-0.0065382123
163,0.9961185,1.0024892,-0.0063707232
164,1.0265365,1.0323262,-0.005789757
165,1.0570874,1.0636821,-0.006594658
166,1.0879987,1.0947589,-0.0067601204
167,1.119847,1.1257715,-0.0059244633
168,1.1517619,1.1577266,-0.005964756
169,1.1894388,1.1896995,-0.00026071072
170,1.2167041,1.2272049,-0.010500789
171,1.2491769,1.2541598,-0.0049829483
172,1.2817752,1.2862018,-0.0044265985
173,1.3191876,1.318147,0.0010406971
174,1.3517226,1.3547204,-0.002997756
175,1.3837978,1.3862733,-0.0024755
176,1.4103663,1.417644,-0.007277727
177,1.4470485,1.4428284,0.004220128
178,1.4780986,1.4780371,6.151199e-05
179,1.5032192,1.508084,-0.004864812
180,1.5327172,1.5327792,-6.198883e-05
181,1.561195,1.5614101,-0.00021505356
182,1.5977523,1.5880755,0.009676814
183,1.6153808,1.6227909,-0.0074101686
184,1.6455274,1.6387591,0.0067682266
185,1.6700175,1.6680864,0.0019310713
186,1.6933924,1.6944107,-0.0010182858
187,1.715213,1.7273163,-0.012103319
188,1.732666,1.7911781,-0.05851209
189,1.7520837,1.7868744,-0.034790754
190,1.7733817,1.7744359,-0.0010541677
191,1.7906332,1.7922342,-0.0016009808
192,1.8071626,1.8099185,-0.0027558804
193,1.8232565,1.8282218,-0.0049653053
194,1.8392683,1.8462727,-0.00700438
195,1.8550249,1.86419,-0.009165049
196,1.8710457,1.8816315,-0.010585785
197,1.8875968,1.8989651,-0.011368275
198,1.9043703,1.9163147,-0.011944413
199,1.9218391,1.9336233,-0.011784196
200,1.9404933,1.9519179,-0.0114245415
201,1.9599748,1.9716549,-0.011680126
202,1.9801586,1.9922348,-0.012076259
203,2.001498,2.0136585,-0.01216054
204,2.0236359,2.0368419,-0.013206005
205,2.0469558,2.0600743,-0.0131185055
206,2.0709212,2.0846639,-0.013742685
207,2.100229,2.1093354,-0.009106398
208,2.121816,2.1394265,-0.01761055
209,2.1488554,2.1617308,-0.0128753185
210,2.1767735,2.1892357,-0.012462139
211,2.2056358,2.217551,-0.011915207
212,2.235144,2.2465963,-0.011452436
213,2.2658098,2.276087,-0.010277271
214,2.2963436,2.306799,-0.01045537
215,2.3333452,2.3370564,-0.0037112236
216,2.370621,2.3738956,-0.0032746792
217,2.3919067,2.4108076,-0.018900871
218,2.4250183,2.431208,-0.0061895847
219,2.4577923,2.464183,-0.00639081
220,2.491295,2.4955313,-0.0042362213
221,2.5246308,2.52864,-0.004009247
222,2.5632482,2.5603304,0.0029177666
223,2.6015694,2.5970304,0.004539013
224,2.6558764,2.6325407,0.023335695
225,2.6884115,2.6849868,0.0034246445
226,2.7201679,2.716676,0.0034918785
227,2.7514205,2.7475088,0.0039117336
228,2.7826445,2.7783685,0.004276037
229,2.8125837,2.8095303,0.0030534267
230,2.8519201,2.8395162,0.012403965
231,2.8711152,2.878663,-0.0075478554
232,2.8988998,2.897662,0.0012378693
233,2.9252453,2.9253964,-0.00015115738
234,2.9504316,2.9522321,-0.0018005371
235,2.9741757,2.980283,-0.0061073303
