Time Step,True pos_x,Predicted pos_x,Error
150,0.047413945,0.045929544,0.0014844015
151,0.0443559,0.043106165,0.0012497343
152,0.041072324,0.03998866,0.0010836646
153,0.03729601,0.036590356,0.00070565194
154,0.03335132,0.032736365,0.000614956
155,0.029142015,0.029106712,3.5302714e-05
156,0.024459857,0.025121301,-0.0006614439
157,0.020398227,0.02060879,-0.00021056272
158,0.015756726,0.016930895,-0.0011741687
159,0.0060321875,0.012664061,-0.0066318735
160,0.0009487113,0.0031718486,-0.0022231373
161,-0.0043345485,-0.0017340167,-0.0026005318
162,-0.009878506,-0.0067532402,-0.0031252657
163,-0.015740098,-0.012235694,-0.0035044048
164,-0.020613119,-0.017893204,-0.0027199145
165,-0.026657231,-0.02252265,-0.0041345805
166,-0.032420333,-0.028105212,-0.004315121
167,-0.03793152,-0.033910647,-0.0040208735
168,-0.043155394,-0.03935592,-0.0037994757
169,-0.049329914,-0.044507872,-0.004822042
170,-0.05358466,-0.050674517,-0.0029101446
171,-0.058441445,-0.054910008,-0.0035314374
172,-0.063113466,-0.059835345,-0.0032781214
173,-0.069346055,-0.064703844,-0.004642211
174,-0.07346394,-0.0709904,-0.0024735406
175,-0.077955514,-0.07535632,-0.0025991946
176,-0.08238924,-0.08001614,-0.0023730993
177,-0.08762681,-0.08442832,-0.0031984895
178,-0.09119345,-0.089633234,-0.0015602186
179,-0.09467737,-0.09340489,-0.0012724772
180,-0.09809884,-0.09709888,-0.0009999573
181,-0.10242651,-0.10058763,-0.0018388778
182,-0.10695307,-0.1045011,-0.0024519712
183,-0.10937567,-0.10863512,-0.00074055046
184,-0.11238987,-0.110518545,-0.0018713251
185,-0.11569034,-0.11303683,-0.0026535094
186,-0.11898253,-0.11575977,-0.0032227635
187,-0.12271792,-0.1187978,-0.0039201155
188,-0.12419566,-0.11420241,-0.009993248
189,-0.12710989,-0.12686545,-0.00024443865
190,-0.12928054,-0.1311821,0.001901567
191,-0.13139626,-0.1331175,0.0017212331
192,-0.13363075,-0.13461556,0.0009848028
193,-0.13565095,-0.1364025,0.00075155497
194,-0.13673064,-0.13823219,0.0015015453
195,-0.13857116,-0.13925986,0.00068870187
196,-0.13988985,-0.14105102,0.001161173
197,-0.14095269,-0.14233746,0.0013847649
198,-0.14263979,-0.14332606,0.000686273
199,-0.14405541,-0.14488198,0.0008265674
200,-0.14493054,-0.14616969,0.0012391508
201,-0.14663832,-0.14688948,0.00025115907
202,-0.14829588,-0.14839873,0.000102847815
203,-0.15004584,-0.14994021,-0.00010563433
204,-0.15200546,-0.15137538,-0.0006300807
205,-0.15303655,-0.15286094,-0.00017561018
206,-0.15465152,-0.15346476,-0.0011867583
207,-0.15642989,-0.15481141,-0.0016184747
208,-0.15838175,-0.15626355,-0.0021182
209,-0.1593917,-0.15767711,-0.0017145872
210,-0.16125129,-0.15852831,-0.0027229786
211,-0.16234739,-0.15996142,-0.002385974
212,-0.16411783,-0.16107742,-0.0030404031
213,-0.1645064,-0.16273193,-0.001774475
214,-0.16605932,-0.16343448,-0.0026248395
215,-0.16871233,-0.16512717,-0.0035851598
216,-0.16974114,-0.16721322,-0.0025279224
217,-0.17083769,-0.16830917,-0.0025285184
218,-0.17252097,-0.16947384,-0.0030471236
219,-0.17471881,-0.17102389,-0.0036949217
220,-0.17442696,-0.17303461,-0.0013923496
221,-0.17480311,-0.17322837,-0.0015747398
222,-0.17509535,-0.17366353,-0.0014318228
223,-0.17578344,-0.17390007,-0.0018833727
224,-0.17664418,-0.17452426,-0.0021199137
225,-0.17605838,-0.1755123,-0.00054608285
226,-0.17698096,-0.17533296,-0.0016479939
227,-0.178289,-0.17654853,-0.0017404705
228,-0.17840798,-0.17807573,-0.0003322512
229,-0.17922653,-0.17863481,-0.0005917251
230,-0.17998572,-0.1797398,-0.00024591386
231,-0.17974128,-0.18072096,0.0009796768
232,-0.17874274,-0.18072703,0.0019842982
233,-0.17719215,-0.17987162,0.0026794672
234,-0.17655139,-0.17843895,0.0018875599
235,-0.1751119,-0.17795357,0.0028416663
236,-0.17396629,-0.17746396,0.003497675
