Time Step,True_rot_1_y,Predicted_rot_1_y,Absolute_Error
0,0.9481110668380811,0.9472627815156678,0.0008482853224133224
1,0.9504988994154823,0.9522691563334347,0.0017702569179524064
2,0.9552802716252079,0.954362331529702,0.0009179400955059425
3,0.9598380622990373,0.9585415654768847,0.001296496822152604
4,0.9620945537383856,0.9629245011146235,0.0008299473762378717
5,0.9662741078234919,0.9655317178246303,0.000742389998861559
6,0.9683883071736566,0.9695214956329586,0.0011331884593019925
7,0.9726520082776101,0.9713334416342407,0.0013185666433693788
8,0.9760752051176665,0.9757729559153254,0.0003022492023411205
9,0.9779486938802722,0.9791812820891778,0.001232588208905594
10,0.9797746107001004,0.9797228213956083,5.178930449212249e-05
11,0.9797746107001004,0.9798375207415932,6.29100414928363e-05
12,0.9796392514874337,0.9790563195256637,0.0005829319617699502
13,0.9797746107001002,0.9792874814040969,0.0004871292960032525
14,0.9797746107001004,0.9796874918284206,8.711887167978105e-05
15,0.9797746107001004,0.9798540146579011,7.940395780070553e-05
16,0.9797746107001004,0.9797038562022086,7.075449789184507e-05
17,0.9797746107001004,0.9796446007696077,0.0001300099304927249
18,0.9797746107001004,0.9796878624475984,8.674825250198914e-05
19,0.9796392514874337,0.9797445395763786,0.00010528808894494368
20,0.9797295091345936,0.9795459443575161,0.00018356477707748287
21,0.9795941918833512,0.9798190660287838,0.00022487414543259643
22,0.9795941918833512,0.9806662278402937,0.0010720359569424964
23,0.9813668809967392,0.9811630817622546,0.0002037992344845474
24,0.98308335145126,0.9836770358252934,0.0005936843740333986
25,0.985589408797273,0.985632932392042,4.3523594769001583e-05
26,0.9885361416360584,0.9873297377311948,0.0012064039048635955
27,0.9885361416360584,0.9901011018982068,0.0015649602621483627
28,0.989904814087634,0.9904836600440422,0.0005788459564082249
29,0.9911985498238173,0.9919847185972223,0.0007861687734049827
30,0.9924135942924455,0.992963966376415,0.0005503720839695747
31,0.993546347382204,0.9940106367432132,0.0004642893610091736
32,0.9957911876297639,0.9951314357634506,0.0006597518663132851
33,0.9973343728936757,0.9971649011224836,0.00016947177119208678
34,0.9979689354200106,0.998498326210545,0.0005293907905343787
35,0.9989539894873445,0.9990489950016138,9.500551426933068e-05
36,0.9995502222384905,0.9996201704985902,6.994826009965038e-05
37,0.9997498436660899,0.9997415002798717,8.343386218134796e-06
38,0.9996998913443409,0.9994940824951727,0.00020580884916820974
39,-0.9993012642008289,-0.9992278166254013,7.344757542759872e-05
40,-0.9985092091484995,-0.998399240310407,0.00010996883809244462
41,-0.9957903124921049,-0.9972114928582204,0.0014211803661154931
42,-0.9924618523404202,-0.9937023051872768,0.0012404528468565879
43,-0.9899524112562942,-0.9895827297918953,0.0003696814643988633
44,-0.9871431558224487,-0.987146315434673,3.159612224301611e-06
45,-0.9856357347634217,-0.9848405242561754,0.0007952105072462912
46,-0.9856357347634217,-0.9838651000135283,0.0017706347498933628
47,-0.983129477044368,-0.9840308597367018,0.000901382692333752
48,-0.9814124989780314,-0.9813300495913638,8.244938666757129e-05
49,-0.9796392753014366,-0.9795394685199781,9.980678145848909e-05
50,-0.9778141357533405,-0.9778551101857321,4.097443239159393e-05
51,-0.9759414438506346,-0.976189868675754,0.00024842482511933106
52,-0.9725224392099713,-0.974404230111033,0.001881790901061775
53,-0.9725224668609764,-0.9709253151507201,0.001597151710256317
54,-0.9704725247289397,-0.9709705943275194,0.0004980695985796757
55,-0.9683883368140105,-0.968955909003436,0.0005675721894254915
56,-0.966274138428221,-0.966851878359793,0.0005777399315720633
57,-0.9643311037503591,-0.9646060870913016,0.00027498334094244736
58,-0.9620945537383732,-0.9624151865005197,0.00032063276214655545
59,-0.9620945537383856,-0.9598028025666083,0.0022917511717772676
60,-0.9598380289394363,-0.959537852627886,0.0003001763115502154
61,-0.9575653645628877,-0.9570258180914836,0.0005395464714040843
62,-0.9527682091183057,-0.9545210052046974,0.0017527960863916725
