Time Step,True_pos_x,Predicted_pos_x,Absolute_Error
0,1.6100000143051147,1.6021052598953247,0.007894754409790039
1,1.600000023841858,1.6012403964996338,0.001240372657775879
2,1.590000033378601,1.5902607440948486,0.0002607107162475586
3,1.5800000429153442,1.579329490661621,0.0006705522537231445
4,1.5700000524520874,1.5683650970458984,0.0016349554061889648
5,1.559999942779541,1.5576304197311401,0.002369523048400879
6,1.5499999523162842,1.54695725440979,0.0030426979064941406
7,1.5399999618530273,1.5362589359283447,0.003741025924682617
8,1.5299999713897705,1.5251978635787964,0.004802107810974121
9,1.5099999904632568,1.5139248371124268,0.003924846649169922
10,1.5,1.493132472038269,0.006867527961730957
11,1.4800000190734863,1.4778263568878174,0.0021736621856689453
12,1.4700000286102295,1.4567252397537231,0.013274788856506348
13,1.4500000476837158,1.450384259223938,0.00038421154022216797
14,1.440000057220459,1.431840181350708,0.008159875869750977
15,1.4199999570846558,1.4210513830184937,0.0010514259338378906
16,1.3899999856948853,1.4003815650939941,0.010381579399108887
17,1.3799999952316284,1.3707396984100342,0.009260296821594238
18,1.350000023841858,1.3609391450881958,0.01093912124633789
19,1.340000033378601,1.330633521080017,0.009366512298583984
20,1.3200000524520874,1.3200734853744507,7.343292236328125e-05
21,1.2999999523162842,1.3022408485412598,0.002240896224975586
22,1.2899999618530273,1.282732367515564,0.007267594337463379
23,1.2699999809265137,1.2727941274642944,0.0027941465377807617
24,1.25,1.2519330978393555,0.0019330978393554688
25,1.2300000190734863,1.2320287227630615,0.0020287036895751953
26,1.2000000476837158,1.2099978923797607,0.009997844696044922
27,1.190000057220459,1.1805975437164307,0.00940251350402832
28,1.1699999570846558,1.1710145473480225,0.0010145902633666992
29,1.159999966621399,1.1503100395202637,0.009689927101135254
30,1.1399999856948853,1.1397221088409424,0.0002778768539428711
31,1.1200000047683716,1.119473934173584,0.0005260705947875977
32,1.100000023841858,1.0993471145629883,0.0006529092788696289
33,1.0800000429153442,1.079239845275879,0.000760197639465332
34,1.0700000524520874,1.0590999126434326,0.010900139808654785
35,1.0499999523162842,1.0489574670791626,0.001042485237121582
36,1.0299999713897705,1.028741478919983,0.0012584924697875977
37,1.0099999904632568,1.008304238319397,0.0016957521438598633
38,1.0,0.987835705280304,0.012164294719696045
39,0.9800000190734863,0.9774243831634521,0.0025756359100341797
40,0.9599999785423279,0.95706707239151,0.002932906150817871
41,0.9300000071525574,0.9367988109588623,0.006798803806304932
