Time Step,True_rot_0_x,Predicted_rot_0_x,Absolute_Error
0,0.010024961326756043,0.010433766312656974,0.0004088049859009308
1,0.009993495859436914,0.010193232373406816,0.00019973651396990207
2,0.020119607478347075,0.009888943927456434,0.010230663550890641
3,0.020004001237904766,0.01756647197113139,0.002437529266773375
4,0.019948881197116845,0.018857042330690736,0.0010918388664261092
5,0.02008881672897677,0.019261512620107755,0.0008273041088690154
6,0.020037982692881526,0.01920640498298514,0.0008315777098963847
7,0.00996943820300666,0.01892478444451056,0.0089553462415039
8,0.010044391220847979,0.012522855080365457,0.0024784638595174782
9,0.010022973658285627,0.012526017950061492,0.002503044291775865
10,0.010002500348520937,0.011301094527358004,0.0012985941788370668
11,0.010002500348520937,0.009234784290852897,0.0007677160576680404
12,0.020008004623002677,0.008139228804368969,0.011868775818633708
13,0.010002500395053095,0.018160123282911795,0.0081576228878587
14,0.010002500348520937,0.010669561418886163,0.0006670610703652258
15,0.010002500348520937,0.010376216223130511,0.00037371587460957416
16,0.010002500348520937,0.009979171992367602,2.3328356153335533e-05
17,0.010002500348520937,0.01005175864593557,4.925829741463279e-05
18,0.010002500348520937,0.010388659565172258,0.00038615921665132065
19,0.020008004623002677,0.01034329933106376,0.009664705291938917
20,0.010001824510253039,0.01862828697375677,0.008626462463503732
21,0.020007234399762857,0.011379812826693947,0.00862742157306891
22,0.020007234399762857,0.02022011292820975,0.00021287852844689356
23,0.019975604457823683,0.02169110172049808,0.001715497262674396
24,0.019944897646280407,0.02235637572287967,0.0024114780765992633
25,0.020079115783827695,0.021777704320916292,0.0016985885370885967
26,0.02002640457094574,0.02011138268465896,8.497811371321884e-05
27,0.02002640457094574,0.020587045023647305,0.0005606404527015649
28,0.020001723423692837,0.02145855284057848,0.0014568294168856438
29,0.0199782216173961,0.021038361224206957,0.0010601396068108566
30,0.01995594733881778,0.020485618032874263,0.0005296706940564819
31,0.01993495155791055,0.020460070825891758,0.0005251192679812076
32,0.020078243570259842,0.02037582351879102,0.0002975799485311764
33,0.020050205321592157,0.02047699020136516,0.00042678487977300394
34,0.020038529869215695,0.02045077389313147,0.0004122440239157747
35,0.020020160107282733,0.020634192376288947,0.0006140322690062136
36,0.02000882167440318,0.020564365195691117,0.0005555435212879385
37,0.02000499933269052,0.02026140290394455,0.000256403571254029
38,0.020006059934019244,0.020206705721028215,0.00020064578700897118
39,-0.02001442053357569,-0.020284787126699826,0.00027036659312413766
40,-0.020031480331805126,-0.020311752094500847,0.00028027176269572115
41,-0.020093447003107445,-0.02031693734141469,0.00022349033830724313
42,-0.019948890749843472,-0.02038094318157434,0.00043205243173086855
43,-0.02000100021565888,-0.020332594129881417,0.00033159391422253603
44,-0.02006094399943944,-0.020432839871936313,0.0003718958724968739
