Time Step,True_pos_z,Predicted_pos_z,Absolute_Error
0,-0.6000000238418579,-0.608642578125,0.00864255428314209
1,-0.6200000047683716,-0.6288695931434631,0.008869588375091553
2,-0.6399999856948853,-0.6488199234008789,0.008819937705993652
3,-0.6700000166893005,-0.6713007092475891,0.0013006925582885742
4,-0.6899999976158142,-0.699714720249176,0.009714722633361816
5,-0.7099999785423279,-0.7190877199172974,0.009087741374969482
6,-0.7300000190734863,-0.7390427589416504,0.009042739868164062
7,-0.7699999809265137,-0.7588692903518677,0.011130690574645996
8,-0.7900000214576721,-0.7977997064590454,0.007799685001373291
9,-0.8100000023841858,-0.8166578412055969,0.006657838821411133
10,-0.8299999833106995,-0.8346403241157532,0.004640340805053711
11,-0.8500000238418579,-0.8581100702285767,0.00811004638671875
12,-0.8700000047683716,-0.880983829498291,0.010983824729919434
13,-0.8899999856948853,-0.8970077037811279,0.007007718086242676
14,-0.9100000262260437,-0.9127118587493896,0.0027118325233459473
15,-0.9399999976158142,-0.9330251812934875,0.00697481632232666
16,-0.9599999785423279,-0.9636003971099854,0.0036004185676574707
17,-0.9800000190734863,-0.9833402633666992,0.0033402442932128906
18,-1.0099999904632568,-1.0032521486282349,0.006747841835021973
19,-1.0299999713897705,-1.0335108041763306,0.0035108327865600586
20,-1.059999942779541,-1.0561541318893433,0.003845810890197754
21,-1.0800000429153442,-1.0832463502883911,0.003246307373046875
22,-1.100000023841858,-1.1039042472839355,0.0039042234420776367
23,-1.1200000047683716,-1.1246278285980225,0.004627823829650879
24,-1.149999976158142,-1.1474668979644775,0.0025330781936645508
25,-1.1799999475479126,-1.175290584564209,0.004709362983703613
26,-1.2100000381469727,-1.2064754962921143,0.0035245418548583984
27,-1.2300000190734863,-1.2356823682785034,0.00568234920501709
28,-1.25,-1.2554317712783813,0.005431771278381348
29,-1.2699999809265137,-1.2740949392318726,0.004094958305358887
30,-1.2899999618530273,-1.2940090894699097,0.004009127616882324
31,-1.309999942779541,-1.3141417503356934,0.004141807556152344
