Time Step,True_pos_y,Predicted_pos_y,Absolute_Error
0,0.17000000178813934,0.17019793391227722,0.00019793212413787842
1,0.17000000178813934,0.17011301219463348,0.00011301040649414062
2,0.17000000178813934,0.1700638234615326,6.382167339324951e-05
3,0.17000000178813934,0.16964058578014374,0.00035941600799560547
4,0.17000000178813934,0.1695147454738617,0.0004852563142776489
5,0.17000000178813934,0.1701025664806366,0.00010256469249725342
6,0.17000000178813934,0.17015458643436432,0.00015458464622497559
7,0.17000000178813934,0.17009015381336212,9.015202522277832e-05
8,0.17000000178813934,0.16984228789806366,0.0001577138900756836
9,0.17000000178813934,0.16929033398628235,0.0007096678018569946
10,0.17000000178813934,0.17009076476097107,9.076297283172607e-05
11,0.17000000178813934,0.17089669406414032,0.0008966922760009766
12,0.17000000178813934,0.16960586607456207,0.0003941357135772705
13,0.17000000178813934,0.16861838102340698,0.0013816207647323608
14,0.17000000178813934,0.16861721873283386,0.001382783055305481
15,0.17000000178813934,0.16908866167068481,0.0009113401174545288
16,0.17000000178813934,0.16886840760707855,0.001131594181060791
17,0.17000000178813934,0.16850678622722626,0.001493215560913086
18,0.17000000178813934,0.16865991055965424,0.0013400912284851074
19,0.17000000178813934,0.16881507635116577,0.0011849254369735718
20,0.17000000178813934,0.1684894859790802,0.001510515809059143
21,0.17000000178813934,0.16743959486484528,0.0025604069232940674
22,0.17000000178813934,0.16784648597240448,0.0021535158157348633
23,0.17000000178813934,0.16839858889579773,0.0016014128923416138
24,0.17000000178813934,0.16815528273582458,0.0018447190523147583
25,0.17000000178813934,0.16857661306858063,0.0014233887195587158
26,0.17000000178813934,0.16932235658168793,0.000677645206451416
27,0.17000000178813934,0.16884903609752655,0.001150965690612793
28,0.17000000178813934,0.16918332874774933,0.0008166730403900146
29,0.17000000178813934,0.16964969038963318,0.00035031139850616455
30,0.17000000178813934,0.17034170031547546,0.0003416985273361206
31,0.17000000178813934,0.1704818606376648,0.00048185884952545166
32,0.17000000178813934,0.17060913145542145,0.0006091296672821045
33,0.17000000178813934,0.17014069855213165,0.00014069676399230957
34,0.17000000178813934,0.16978128254413605,0.0002187192440032959
35,0.17000000178813934,0.16969417035579681,0.0003058314323425293
36,0.17000000178813934,0.1696278154850006,0.0003721863031387329
37,0.17000000178813934,0.17011898756027222,0.00011898577213287354
38,0.17000000178813934,0.17034128308296204,0.00034128129482269287
39,0.17000000178813934,0.17076435685157776,0.0007643550634384155
40,0.17000000178813934,0.17067891359329224,0.0006789118051528931
41,0.16999998688697815,0.1704854518175125,0.0004854649305343628
42,0.17000000178813934,0.16932247579097748,0.0006775259971618652
43,0.17000000178813934,0.16916467249393463,0.0008353292942047119
44,0.17000000178813934,0.1700189709663391,1.8969178199768066e-05
45,0.17000000178813934,0.17047999799251556,0.0004799962043762207
46,0.17000001668930054,0.1706843078136444,0.0006842911243438721
47,0.17000000178813934,0.17099887132644653,0.00099886953830719
48,0.17000000178813934,0.17056994140148163,0.0005699396133422852
49,0.17000000178813934,0.17051251232624054,0.0005125105381011963
50,0.17000000178813934,0.17035676538944244,0.0003567636013031006
51,0.17000000178813934,0.1700873225927353,8.732080459594727e-05
52,0.17000000178813934,0.16979721188545227,0.00020278990268707275
53,0.17000000178813934,0.1692880541086197,0.0007119476795196533
54,0.17000000178813934,0.16989099979400635,0.0001090019941329956
55,0.16999998688697815,0.1699908822774887,9.104609489440918e-06
56,0.17000000178813934,0.17007647454738617,7.647275924682617e-05
57,0.17000000178813934,0.1702226996421814,0.00022269785404205322
58,0.17000000178813934,0.17041736841201782,0.000417366623878479
59,0.17000000178813934,0.17058822512626648,0.0005882233381271362
60,0.17000000178813934,0.1714506596326828,0.001450657844543457
61,0.17000000178813934,0.1717241406440735,0.001724138855934143
62,0.17000000178813934,0.1719607263803482,0.0019607245922088623
63,0.17000000178813934,0.171751007437706,0.0017510056495666504
64,0.18000000715255737,0.1721877008676529,0.00781230628490448
65,0.18000000715255737,0.1793668419122696,0.0006331652402877808
66,0.18000000715255737,0.17858028411865234,0.0014197230339050293
67,0.18000000715255737,0.17834998667240143,0.0016500204801559448
68,0.18000000715255737,0.17854426801204681,0.001455739140510559
69,0.18000000715255737,0.17927594482898712,0.0007240623235702515
70,0.18000000715255737,0.18022002279758453,0.00022001564502716064
71,0.18000000715255737,0.1792452335357666,0.0007547736167907715
72,0.18000000715255737,0.1798156201839447,0.0001843869686126709
73,0.18000000715255737,0.17976287007331848,0.0002371370792388916
74,0.18000000715255737,0.17926307022571564,0.0007369369268417358
75,0.18000000715255737,0.17961475253105164,0.0003852546215057373
76,0.18000000715255737,0.17925718426704407,0.0007428228855133057
77,0.18000000715255737,0.17883408069610596,0.001165926456451416
78,0.18000000715255737,0.17835021018981934,0.0016497969627380371
