Time Step,True pos_z,Predicted pos_z,Error
154,-0.14,-0.13572024,-0.0042797625
155,-0.12,-0.10618624,-0.013813756
156,-0.08,-0.08907313,0.009073131
157,-0.05,-0.052203357,0.0022033565
158,-0.01,-0.024078986,0.014078986
159,0.01,0.013844557,-0.0038445573
160,0.04,0.029725073,0.010274926
161,0.06,0.05873993,0.0012600683
162,0.09,0.08120628,0.008793727
163,0.11,0.116443045,-0.006443046
164,0.13,0.13933791,-0.009337917
165,0.16,0.16131575,-0.0013157576
166,0.2,0.19293875,0.007061258
167,0.23,0.23429388,-0.004293874
168,0.26,0.2650877,-0.0050877035
169,0.28,0.29456583,-0.014565825
170,0.31,0.31303066,-0.0030306578
171,0.34,0.34135926,-0.0013592541
172,0.36,0.37123626,-0.01123625
173,0.39,0.391785,-0.0017850101
174,0.41,0.42203638,-0.012036383
175,0.44,0.44255626,-0.0025562644
176,0.48,0.47373334,0.0062666535
177,0.51,0.5169678,-0.006967783
178,0.53,0.54683626,-0.016836286
179,0.56,0.5672627,-0.0072627068
180,0.59,0.6014012,-0.011401236
181,0.63,0.63144463,-0.0014446378
182,0.66,0.6714476,-0.011447549
183,0.69,0.7008754,-0.010875404
184,0.72,0.7307349,-0.010734856
185,0.76,0.7605953,-0.0005953312
186,0.79,0.8005754,-0.010575354
187,0.82,0.83065575,-0.010655761
188,0.86,0.86076534,-0.00076532364
189,0.89,0.90086275,-0.010862768
190,0.92,0.9309684,-0.010968387
191,0.95,0.961082,-0.011081994
192,0.98,0.99117225,-0.011172235
193,1.01,1.021278,-0.011278033
194,1.08,1.051389,0.028611064
195,1.11,1.1214646,-0.011464596
196,1.14,1.1494623,-0.009462357
197,1.17,1.1793711,-0.009371161
198,1.2,1.2107561,-0.010756016
199,1.24,1.2394351,0.0005649328
200,1.27,1.2791255,-0.009125471
201,1.31,1.310343,-0.00034308434
202,1.36,1.3507532,0.009246826
203,1.39,1.4002621,-0.010262132
204,1.42,1.428423,-0.00842309
205,1.45,1.4560612,-0.0060611963
206,1.48,1.4837197,-0.0037196875
207,1.51,1.5123732,-0.0023732185
208,1.54,1.5420448,-0.002044797
209,1.56,1.5718863,-0.011886358
210,1.59,1.5916507,-0.001650691
211,1.64,1.6214448,0.018555164
212,1.67,1.6713632,-0.0013632774
213,1.7,1.7019063,-0.0019062757
214,1.72,1.7320501,-0.012050033
215,1.74,1.7519408,-0.011940837
216,1.77,1.7716225,-0.0016225576
217,1.79,1.8009615,-0.010961533
218,1.81,1.8201454,-0.010145426
219,1.85,1.8393326,0.010667443
220,1.89,1.8783711,0.011628866
221,1.91,1.9174467,-0.007446766
222,1.95,1.9365318,0.0134682655
223,1.97,1.9733267,-0.0033266544
224,1.99,1.9942356,-0.0042356253
225,1.99,2.0132275,-0.023227453
226,1.99,2.0123756,-0.022375584
227,2.05,2.0113044,0.038695574
228,2.07,2.0695014,0.00049853325
229,2.09,2.0866184,0.0033814907
230,2.1,2.1058838,-0.005883932
231,2.12,2.1161475,0.0038523674
232,2.13,2.136255,-0.0062549114
233,2.14,2.1454828,-0.0054826736
234,2.16,2.1542978,0.005702257
235,2.17,2.174271,-0.0042710304
236,2.2,2.18518,0.014820099
237,2.21,2.2150235,-0.0050234795
238,2.22,2.225769,-0.0057690144
239,2.24,2.2363005,0.003699541
240,2.25,2.2583284,-0.008328438
241,2.27,2.2708225,-0.0008225441
242,2.28,2.289557,-0.009557009
243,2.3,2.2986443,0.001355648
244,2.32,2.3154142,0.004585743
245,2.34,2.3373053,0.0026946068
246,2.36,2.3578007,0.002199173
247,2.37,2.374233,-0.004233122
248,2.38,2.3856742,-0.0056741238
249,2.4,2.3933904,0.0066096783
250,2.41,2.4142148,-0.0042147636
251,2.42,2.4252148,-0.005214691
252,2.43,2.4365911,-0.0065910816
253,2.44,2.4417784,-0.0017783642
254,2.45,2.4490907,0.00090932846
255,2.46,2.4570165,0.00298357
256,2.47,2.4665618,0.0034382343
257,2.47,2.4729352,-0.0029351711
258,2.48,2.4698799,0.010120153
259,2.48,2.4787695,0.0012304783
260,2.48,2.4781644,0.0018355846
261,2.48,2.4763536,0.0036463737
262,2.48,2.4734435,0.006556511
263,2.47,2.4744604,-0.004460335
264,2.47,2.4630651,0.006934881
265,2.46,2.4617245,-0.0017244816
266,2.46,2.450853,0.009146929
267,2.45,2.4501112,-0.00011110306
268,2.45,2.439046,0.010954142
269,2.44,2.4380808,0.0019192696
270,2.43,2.427491,0.0025091171
271,2.42,2.416733,0.0032670498
272,2.4,2.4018462,-0.001846075
273,2.39,2.3889225,0.001077652
274,2.38,2.3753216,0.004678488
