Time Step,True pos_x,Predicted pos_x,Error
1,1.63,1.6271962,0.0028038025
2,1.63,1.6273034,0.0026966333
3,1.63,1.6276786,0.0023213625
4,1.63,1.6281432,0.0018568039
5,1.63,1.6284044,0.0015956163
6,1.63,1.6285282,0.0014717579
7,1.63,1.6283805,0.0016194582
8,1.63,1.6277857,0.0022143126
9,1.63,1.6333196,-0.003319621
10,1.63,1.6288538,0.0011461973
11,1.63,1.6289248,0.0010751486
12,1.64,1.6302354,0.009764552
13,1.64,1.6410979,-0.0010979176
14,1.64,1.6400787,-7.867813e-05
15,1.65,1.6385659,0.011434078
16,1.65,1.648149,0.0018509626
17,1.65,1.6481464,0.0018535852
18,1.65,1.651068,-0.001067996
19,1.64,1.647745,-0.0077450275
20,1.64,1.6378124,0.0021876097
21,1.64,1.636892,0.0031080246
22,1.63,1.6344124,-0.0044124126
23,1.63,1.628692,0.0013079643
24,1.62,1.6222275,-0.0022275448
25,1.61,1.6155965,-0.0055965185
26,1.61,1.6032038,0.006796241
27,1.6,1.6026402,-0.0026401281
28,1.59,1.5923584,-0.0023583174
29,1.58,1.582386,-0.002385974
30,1.57,1.5689473,0.0010527372
31,1.56,1.5582155,0.0017844439
32,1.55,1.547469,0.0025309324
33,1.54,1.5367464,0.0032535791
34,1.53,1.5301532,-0.00015318394
35,1.51,1.5173721,-0.007372141
36,1.5,1.4949414,0.005058646
37,1.48,1.4844949,-0.0044949055
38,1.47,1.4656041,0.0043959618
39,1.45,1.4579413,-0.007941246
40,1.44,1.4351242,0.0048758984
41,1.42,1.425975,-0.005975008
42,1.39,1.4070092,-0.017009258
43,1.38,1.3775917,0.002408266
44,1.35,1.3677292,-0.017729163
45,1.34,1.3378288,0.002171278
46,1.32,1.3295155,-0.009515405
47,1.3,1.3078666,-0.007866621
48,1.29,1.2891867,0.0008132458
49,1.27,1.2767903,-0.0067902803
50,1.25,1.2535472,-0.0035471916
51,1.23,1.2318001,-0.0018000603
52,1.2,1.2106192,-0.0106191635
53,1.19,1.179671,0.010329008
54,1.17,1.1688032,0.001196742
55,1.16,1.1481397,0.011860251
56,1.14,1.137633,0.0023670197
57,1.12,1.1172732,0.0027267933
58,1.1,1.0969981,0.0030019283
59,1.08,1.0765785,0.003421545
60,1.07,1.0561329,0.01386714
61,1.05,1.0459983,0.0040016174
62,1.03,1.0259786,0.004021406
63,1.01,1.0060773,0.003922701
64,1.0,0.9862201,0.013779879
65,0.98,0.9766627,0.0033373237
66,0.96,0.95704293,0.002957046
67,0.93,0.9372744,-0.0072743893
68,0.89,0.9073666,-0.017366588
69,0.86,0.8661553,-0.006155312
70,0.84,0.8352537,0.0047462583
71,0.82,0.8146848,0.0053151846
72,0.8,0.7941884,0.0058116317
73,0.78,0.7735942,0.006405771
74,0.75,0.75286466,-0.0028646588
75,0.72,0.722103,-0.002102971
76,0.7,0.6913852,0.0086147785
77,0.68,0.6708415,0.009158492
78,0.64,0.6506325,-0.010632515
79,0.61,0.61065197,-0.0006519556
80,0.57,0.58068204,-0.010682046
81,0.55,0.54077315,0.009226859
82,0.51,0.5208884,-0.010888398
83,0.47,0.4809813,-0.0109812915
84,0.45,0.44121322,0.008786768
85,0.42,0.42131814,-0.0013181567
86,0.39,0.39140132,-0.001401335
87,0.36,0.36152384,-0.0015238225
88,0.31,0.33167103,-0.021671027
89,0.28,0.28175667,-0.0017566681
90,0.18,0.25157753,-0.07157752
91,0.15,0.15410589,-0.004105881
